isin;issuer;name;coupon;ex_date;ask;bid;Growth_1D;Growth_3Ds;Growth_1W;Growth_2W;Growth_4W;Growth_1D_Pct;Growth_3Ds_Pct;Growth_1W_Pct;Growth_2W_Pct;Growth_4W_Pct
CH1525091620;Leonteq Securities AG;Express Certificate in EUR on iShares Silver Trust (SLV) and SPDR Gold Trust (GLD);EUR 10.00 Monthly;N/A;1016.45;1006.45;-8.63;-5.96;0.3;-6.16;N/A;-0.85;-0.59;0.03;-0.61;N/A
NLBNPIT302V1;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA, BPER Banca SPA);Variable conditioned See attached document;N/A;106.93;105.93;-0.09;0.25;0.52;0.1;0.99;-0.08;0.24;0.49;0.09;0.94
CH1550421346;Leonteq Securities AG;Certificato Express in EUR su Intesa Sanpaolo (ISP), Micron Technology (MU), UniCredit (UCG) Phoenix Autocallable;EUR 12.50 Monthly;N/A;997.47;987.47;1.75;-1.61;0.04;-57.76;N/A;0.18;-0.16;0;-5.53;N/A
CH1550424985;Leonteq Securities AG;Certificato Express in EUR su Banca Monte dei Paschi Siena e STMicroelectronics;EUR 10.00 Monthly;N/A;1010.28;1000.28;4.68;19.77;21.74;21.87;N/A;0.47;2.02;2.22;2.24;N/A
NLBNPIT30333;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (Enel, Leonardo, Snam, Moncler);Conditional (see documentation) Periodic;N/A;93.83;92.83;-0.42;0.47;2.05;0.81;-3.29;-0.45;0.51;2.26;0.88;-3.42
NLBNPIT21TB7;BNP Paribas Issuance B.V.;Cash Collect Step Down 95% (UiPath Inc, KLA Corp, C3.ai Inc);Not specified Not specified;N/A;55.54;54.54;-0.16;3.52;5.83;-1.8;-0.89;-0.29;6.9;11.97;-3.19;-1.61
NLBNPIT303C9;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (UniCredit SpA, Banco BPM SpA, Intesa Sanpaolo SpA);Not specified Refer to attachment;N/A;102.53;101.53;0.98;1.85;1.82;2.01;3.18;0.97;1.86;1.83;2.02;3.23
NLBNPIT304M6;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down-RHM, BA, FCT;1.25% of Notional Monthly;N/A;100.06;99.06;0.07;-0.36;0.06;N/A;N/A;0.07;-0.36;0.06;N/A;N/A
NLBNPIT300T9;BNP Paribas Issuance B.V.;Step Down Memory Cash Collect on Tesla Inc;Not specified Not specified;N/A;99.09;98.09;-0.03;0.57;0.31;-1.11;1.82;-0.03;0.58;0.32;-1.12;1.89
NLBNPIT302W9;BNP Paribas Issuance B.V.;Prodotto Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA);Variable Variable;N/A;106.44;105.44;-0.16;0.25;0.37;0.47;1.24;-0.15;0.24;0.35;0.45;1.19
DE000VK6PMC6;Vontobel;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;8.50% p.a. Annual;N/A;892;882;46;56;37;-46;43;5.5;6.78;4.38;-4.96;5.13
CH1525083577;Leonteq Securities AG;Certificato Express in EUR su Banca Monte dei Paschi Siena, Banco BPM, UniCredit (BMPS, BAMI, UCG);35.00% Annual;N/A;737.43;727.43;10.73;21.52;13.31;23.13;N/A;1.5;3.05;1.86;3.28;N/A
NLBNPIT30325;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (Poste Italiane SpA, UniCredit SpA, Generali, Eni SpA);Not specified Not specified;N/A;105.39;104.39;-0.58;-0.86;-0.8;0.33;3.59;-0.55;-0.82;-0.76;0.32;3.56
DE000VG656A7;Vontobel;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);8.50% p.a. Quarterly;N/A;1026;996;-8;-14;-1;-4;N/A;-0.8;-1.39;-0.1;-0.4;N/A
NLBNPIT2SP93;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down 95% (META, GOOGL, AMD, AMZN);0.95% of Notional Amount Monthly;N/A;99.42;98.42;0.05;0.94;0.73;N/A;N/A;0.05;0.96;0.75;N/A;N/A
DE000VH68M19;Vontobel;Memory Express Certificate on Stellantis, STLA, ENI, ENI, Enel, ENEL;8.50% p.a. Quarterly;N/A;62.6;61.6;-3.2;N/A;N/A;N/A;N/A;-4.94;N/A;N/A;N/A;N/A
NLBNPIT303E5;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (BMPS, SAN);Not specified Not specified;N/A;102.31;101.31;0.9;2.31;1.91;2.6;2.92;0.9;2.33;1.92;2.63;2.97
