certificate_isin;certificate_name;stock_name;stock_google_finance_ticker;stock_isin;stock_industry;stock_sector
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Banca MPS;BIT:BMPS;IT0005508921;Banks-Regional;Financial Services
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Societe Generale;EPA:GLE;FR0000130809;Banks-Regional;Financial Services
DE000VG656A7;Memory Express Certificate on Delivery Hero (DHER.DE), Zalando (ZAL.DE), and HelloFresh (HFG.DE);Raiffeisen Bank;VIE:RBI;AT0000606306;Banks-Regional;Financial Services
DE000VH30021;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);Banca MPS;BIT:BMPS;IT0005508921;Banks;Financial Services
DE000VH30021;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);Moncler;BIT:MONC;IT0004965148;Luxury Goods;Consumer Cyclical
DE000VH30021;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance (ALV, CS, ZURN);Leonardo;BIT:LDO;IT0003856405;Aerospace and Defense;Industrials
DE000VH68M19;Memory Express Certificate on Stellantis, STLA, ENI, ENI, Enel, ENEL;IonQ;NYSE:IONQ;US46222R1086;Computer Hardware;Technology
DE000VH68M19;Memory Express Certificate on Stellantis, STLA, ENI, ENI, Enel, ENEL;Rigetti Computing;NASDAQ:RGTI;US76655J1034;Computer Hardware;Technology
DE000VH68M19;Memory Express Certificate on Stellantis, STLA, ENI, ENI, Enel, ENEL;D-Wave Quantum;NYSE:QBTS;CA23326P1054;Computer Hardware;Technology
DE000VJ6U7J7;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Commerzbank;ETR:CBK;DE000CBK1001;Banks;Financials
DE000VJ6U7J7;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Raiffeisen Bank;VIE:RBI;AT0000606306;Banks;Financials
DE000VJ6U7J7;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Societe Generale;EPA:GLE;FR0000130809;Banks;Financials
DE000VJ6U7J7;Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Banca MPS;BIT:BMPS;IT0005218752;Banks;Financials
DE000VK6PMC6;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;NEXI;BIT:NEXI;IT0005366767;Financial Services;Financials
DE000VK6PMC6;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;STMicroelectronics (PA);EPA:STMPA;NL0000226223;Semiconductors;Technology
DE000VK6PMC6;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Intesa Sanpaolo;BIT:ISP;IT0000072618;Banks;Financials
DE000VK6PMC6;Vontobel Memory Express Zertifikat auf Allianz, AXA, Zurich Insurance;Eni;BIT:ENI;IT0003132636;Oil and Gas;Energy
IT0006767823;N/A;Microsoft;MSFT:NASDAQ;US5949181045;Software;Information Technology
IT0006767823;N/A;Amazon;AMZN:NASDAQ;US0231351067;E-commerce;Consumer Discretionary
IT0006767823;N/A;Palantir;PLTR:NYSE;US69608A1088;Software;Information Technology
IT0006767823;N/A;Nvidia;NVDA:NASDAQ;US67066G1040;Semiconductors;Information Technology
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;Unicredit;BIT:UCG;IT0005239360;Banks-Regional;Financial Services
IT0006770512;60m Wof Memory Phoenix Autocall on BNP Paribas SA, UniCredit SpA, Banco BPM SpA in EUR;Banco BPM;BIT:BAMI;IT0005218380;Banks-Regional;Financial Services
