isin;ask;bid;dt
CH1390871320;"";"";2026-06-01T08-00-35
CH1390871320;"";"";2026-06-01T13-00-55
CH1390871320;"";"";2026-06-01T15-00-46
CH1390871320;"";"";2026-06-03T08-01-00
CH1390871320;"";"";2026-06-03T13-01-05
CH1390871320;"";"";2026-06-03T15-00-57
CH1390871320;"";"";2026-06-02T08-00-29
CH1390871320;"";"";2026-06-02T13-00-56
CH1390871320;"";"";2026-06-02T15-00-38
CH1390871320;"";"";2026-05-29T08-00-30
CH1390871320;"";"";2026-05-29T15-00-30
CH1390871320;"";"";2026-06-01T08-00-35
CH1390871320;"";"";2026-06-01T13-00-55
CH1390871320;"";"";2026-06-01T15-00-46
CH1390871320;"";"";2026-06-02T08-00-29
CH1390871320;"";"";2026-06-02T13-00-56
CH1390871320;"";"";2026-06-02T15-00-38
CH1390871320;"";"";2026-06-03T08-01-00
CH1390871320;"";"";2026-06-04T08-00-23
CH1390871320;"";"";2026-06-04T13-01-07
CH1390871320;"";"";2026-06-04T15-01-14
CH1453354354;"";"";2026-06-01T08-00-35
CH1453354354;"";"";2026-06-01T13-00-55
CH1453354354;"";"";2026-06-01T15-00-46
CH1453354354;"";"";2026-06-03T08-01-00
CH1453354354;"";"";2026-06-03T13-01-05
CH1453354354;"";"";2026-06-03T15-00-57
CH1453354354;"";"";2026-06-02T08-00-29
CH1453354354;"";"";2026-06-02T13-00-56
CH1453354354;"";"";2026-06-02T15-00-38
CH1453354354;"";"";2026-05-29T08-00-30
CH1453354354;"";"";2026-05-29T15-00-30
CH1453354354;"";"";2026-06-01T08-00-35
CH1453354354;"";"";2026-06-01T13-00-55
CH1453354354;"";"";2026-06-01T15-00-46
CH1453354354;"";"";2026-06-02T08-00-29
CH1453354354;"";"";2026-06-02T13-00-56
CH1453354354;"";"";2026-06-02T15-00-38
CH1453354354;"";"";2026-06-03T08-01-00
CH1453354354;"";"";2026-06-04T08-00-23
CH1453354354;"";"";2026-06-04T13-01-07
CH1453354354;"";"";2026-06-04T15-01-14
CH1525083544;"";"";2026-06-01T08-00-35
CH1525083544;"";"";2026-06-01T13-00-55
CH1525083544;"";"";2026-06-01T15-00-46
CH1525083544;"";"";2026-06-03T08-01-00
CH1525083544;"";"";2026-06-03T13-01-05
CH1525083544;"";"";2026-06-03T15-00-57
CH1525083544;"";"";2026-06-02T08-00-29
CH1525083544;"";"";2026-06-02T13-00-56
CH1525083544;"";"";2026-06-02T15-00-38
CH1525083544;"";"";2026-05-29T08-00-30
CH1525083544;"";"";2026-05-29T15-00-30
CH1525083544;"";"";2026-06-01T08-00-35
CH1525083544;"";"";2026-06-01T13-00-55
CH1525083544;"";"";2026-06-01T15-00-46
CH1525083544;"";"";2026-06-02T08-00-29
CH1525083544;"";"";2026-06-02T13-00-56
CH1525083544;"";"";2026-06-02T15-00-38
CH1525083544;"";"";2026-06-03T08-01-00
CH1525083544;"";"";2026-06-04T08-00-23
CH1525083544;"";"";2026-06-04T13-01-07
CH1525083544;"";"";2026-06-04T15-01-14
CH1550425057;"";1013.38;2026-06-01T08-00-35
CH1550425057;"";1017.86;2026-06-01T13-00-55
CH1550425057;"";1007.33;2026-06-01T15-00-46
CH1550425057;"";1010.67;2026-06-03T08-01-00
CH1550425057;"";1008.01;2026-06-03T13-01-05
CH1550425057;"";1009.29;2026-06-03T15-00-57
CH1550425057;"";1013.97;2026-06-02T08-00-29
CH1550425057;"";1012.11;2026-06-02T13-00-56
CH1550425057;"";1014.66;2026-06-02T15-00-38
CH1550425057;"";1017.02;2026-05-29T08-00-30
CH1550425057;"";1014.56;2026-05-29T15-00-30
CH1550425057;"";1013.38;2026-06-01T08-00-35
CH1550425057;"";1017.86;2026-06-01T13-00-55
CH1550425057;"";1007.33;2026-06-01T15-00-46
CH1550425057;"";1013.97;2026-06-02T08-00-29
CH1550425057;"";1012.11;2026-06-02T13-00-56
CH1550425057;"";1014.66;2026-06-02T15-00-38
CH1550425057;"";1010.67;2026-06-03T08-01-00
CH1550425057;"";1013.79;2026-06-04T08-00-23
CH1550425057;"";1010.35;2026-06-04T13-01-07
CH1550425057;"";1010.79;2026-06-04T15-01-14
DE000VG656A7;"";"";2026-06-01T08-00-35
DE000VG656A7;"";"";2026-06-01T13-00-55
DE000VG656A7;"";"";2026-06-01T15-00-46
DE000VG656A7;"";"";2026-06-03T08-01-00
DE000VG656A7;"";"";2026-06-03T13-01-05
DE000VG656A7;"";"";2026-06-03T15-00-57
DE000VG656A7;"";"";2026-06-02T08-00-29
DE000VG656A7;"";"";2026-06-02T13-00-56
DE000VG656A7;"";"";2026-06-02T15-00-38
DE000VG656A7;"";"";2026-05-29T08-00-30
DE000VG656A7;"";"";2026-05-29T15-00-30
DE000VG656A7;"";"";2026-06-01T08-00-35
DE000VG656A7;"";"";2026-06-01T13-00-55
DE000VG656A7;"";"";2026-06-01T15-00-46
