isin;ask;bid;dt
CH1550425057;"";988.73;2026-05-18T15-01-07
CH1550425057;"";1017.42;2026-05-28T13-00-54
CH1550425057;"";1010.35;2026-06-04T13-01-07
CH1550425057;"";1019.3;2026-05-26T15-00-30
CH1550425057;"";1018.89;2026-05-28T15-20-27
CH1550425057;"";1014.66;2026-06-02T15-00-38
CH1550425057;"";1013.79;2026-06-04T08-00-23
CH1550425057;"";1009.29;2026-06-03T15-00-57
CH1550425057;"";1020.61;2026-05-27T08-00-33
CH1550425057;"";1017.86;2026-06-01T13-00-55
CH1550425057;"";1014.56;2026-05-29T15-00-30
CH1550425057;"";1013.86;2026-05-25T08-00-41
CH1550425057;"";1010.67;2026-06-03T08-01-00
CH1550425057;"";1007.33;2026-06-01T15-00-46
CH1550425057;"";1014.56;2026-05-29T15-00-30
CH1550425057;"";1013.38;2026-06-01T08-00-35
CH1550425057;"";996.32;2026-05-22T08-00-46
CH1550425057;"";1020.76;2026-05-27T11-17-46
CH1550425057;"";1017.02;2026-05-29T08-00-30
CH1550425057;"";995.21;2026-05-14T15-00-57
CH1550425057;"";994.45;2026-05-20T15-00-39
CH1550425057;"";1017.86;2026-06-01T13-00-55
CH1550425057;"";1012.11;2026-06-02T13-00-56
CH1550425057;"";983.41;2026-05-19T15-00-45
CH1550425057;"";1013.38;2026-06-01T08-00-35
CH1550425057;"";1007.33;2026-06-01T15-00-46
CH1550425057;"";1017.11;2026-05-28T08-00-28
CH1550425057;"";1008.01;2026-06-03T13-01-05
CH1550425057;"";1013.97;2026-06-02T08-00-29
CH1550425057;"";996.6;2026-05-21T08-12-47
CH1550425057;"";1004.12;2026-05-22T15-00-30
CH1550425057;"";1010.79;2026-06-04T15-01-14
CH1550425057;"";1016.29;2026-05-28T15-01-05
CH1550425057;"";1017.02;2026-05-29T08-00-30
CH1550425057;"";1013.97;2026-06-02T08-00-29
CH1550425057;"";987.06;2026-05-13T15-00-49
CH1550425057;"";995.47;2026-05-21T15-00-36
CH1550425057;"";996.19;2026-05-19T08-26-21
