isin;issuer;name;coupon;next_ex_date;ask;bid;Growth_1D;Growth_3Ds;Growth_1W;Growth_2W;Growth_4W;Growth_1D_Pct;Growth_3Ds_Pct;Growth_1W_Pct;Growth_2W_Pct;Growth_4W_Pct;Last_Update_DT;Par_Value
CH1525091620;Leonteq Securities AG;Express Certificate in EUR on iShares Silver Trust (SLV) and SPDR Gold Trust (GLD);EUR 10.00 Monthly;2026-07-20;1004.57;994.57;7.13;11.53;18.11;-8.44;-14.41;0.72;1.17;1.85;-0.84;-1.43;2026-07-03 15:01:01;1000
NLBNPIT305S0;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;1.89% Monthly;2026-07-23;94.97;93.97;-0.37;-2.76;-1.96;N/A;N/A;-0.39;-2.85;-2.04;N/A;N/A;2026-07-03 15:01:01;100
NLBNPIT302V1;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (UniCredit SpA, Intesa Sanpaolo SpA, BPER Banca SPA);Variable conditioned See attached document;N/A;108.88;107.88;0.04;0.4;0.81;-0.4;1.68;0.04;0.37;0.76;-0.37;1.58;2026-07-03 15:01:01;100
CH1550424985;Leonteq Securities AG;Certificato Express in EUR su Banca Monte dei Paschi Siena e STMicroelectronics;EUR 10.00 Monthly;N/A;984.34;974.34;3.03;-14.25;-11.26;-53.54;-26.86;0.31;-1.44;-1.14;-5.21;-2.68;2026-07-03 15:01:01;1000
NLBNPIT30333;BNP Paribas Issuance B.V.;Cash Collect Protection Booster (Enel, Leonardo, Snam, Moncler);Conditional (see documentation) Periodic;N/A;94.8;93.8;0.33;4.09;4.79;-0.85;0.86;0.35;4.56;5.38;-0.9;0.93;2026-07-03 15:01:01;100
NLBNPIT303C9;BNP Paribas Issuance B.V.;Premium Plus Cash Collect (UniCredit SpA, Banco BPM SpA, Intesa Sanpaolo SpA);Not specified Refer to attachment;N/A;102.92;101.92;0.08;0;0.46;-1.92;2.04;0.08;0;0.45;-1.85;2.04;2026-07-03 15:01:01;100
NLBNPIT304M6;BNP Paribas Issuance B.V.;12 Premi Fissi Cash Collect Step Down-RHM, BA, FCT;1.25% of Notional Monthly;N/A;98.99;97.99;-0.13;4.09;5.08;-2.11;-0.99;-0.13;4.36;5.47;-2.11;-1;2026-07-03 15:01:01;100
NLBNPIT305R2;BNP Paribas Issuance B.V.;Enjoy Cash Collect Memory Step Down;1% Monthly;2026-07-23;99.48;98.48;-0.37;0.44;-1.55;N/A;N/A;-0.37;0.45;-1.55;N/A;N/A;2026-07-03 15:01:01;100
CH1453354354;Leonteq Securities AG;8.00% p.a. Reverse Convertible in EUR on 0.5% France Govt (05/25/2072) (FR0014001NN8);EUR 6.67 Monthly;N/A;N/A;877.64;0.91;N/A;N/A;N/A;N/A;0.1;N/A;N/A;N/A;N/A;2026-06-02 13:00:56;1000
CH1525083577;Leonteq Securities AG;Certificato Express in EUR su Banca Monte dei Paschi Siena, Banco BPM, UniCredit (BMPS, BAMI, UCG);EUR 350.00 N/A;N/A;804.48;794.48;1.84;5.49;7.64;-13.46;68.84;0.23;0.7;0.97;-1.67;9.49;2026-07-03 15:01:01;1000
