certificate_isin;certificate_name;stock_name;stock_google_finance_ticker;stock_exchange;stock_isin;stock_industry;stock_sector
NLBNPIT30630;Low Barrier Cash Collect Memory Step Down on SpaceX, Alphabet, Apple, Amazon;Apple Inc;NASDAQ:AAPL;NASDAQ;US0378331005;Consumer Electronics;Technology
NLBNPIT30630;Low Barrier Cash Collect Memory Step Down on SpaceX, Alphabet, Apple, Amazon;Amazon.com Inc;NASDAQ:AMZN;NASDAQ;US0231351067;E-Commerce and Cloud;Consumer Discretionary
NLBNPIT30630;Low Barrier Cash Collect Memory Step Down on SpaceX, Alphabet, Apple, Amazon;Alphabet Inc;NASDAQ:GOOGL;NASDAQ;US02079K3059;Internet and Media;Communication Services
NLBNPIT30630;Low Barrier Cash Collect Memory Step Down on SpaceX, Alphabet, Apple, Amazon;Space Exploration Technologies Corp;NASDAQ:SPCX;NASDAQ;US84615Q1031;Aerospace and Defense;Industrials
DE000VY8DKW4;Memory Cash Collect Express Certificate su Leonardo, Rocket Lab Corp, Space Exploration Technologies Corporation, STMicroelectronics (Quanto EUR);Leonardo S.p.A.;BIT:LDO;BIT;IT0003856405;Aerospace and Defense;Industrials
DE000VY8DKW4;Memory Cash Collect Express Certificate su Leonardo, Rocket Lab Corp, Space Exploration Technologies Corporation, STMicroelectronics (Quanto EUR);Rocket Lab USA, Inc.;NASDAQ:RKLB;Nasdaq Global Select Market;US7731211089;Aerospace and Defense;Industrials
DE000VY8DKW4;Memory Cash Collect Express Certificate su Leonardo, Rocket Lab Corp, Space Exploration Technologies Corporation, STMicroelectronics (Quanto EUR);STMicroelectronics N.V.;EPA:STM;EPA;NL0000226223;Semiconductors;Technology
XS3183914327;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 16 July 2029;Leonardo S.p.A.;BIT:LDO;BIT;IT0003856405;Aerospace and Defense;Industrials
XS3183914327;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 16 July 2029;STMicroelectronics N.V.;BIT:STMMI;BIT;NL0000226223;Semiconductors;Technology
XS3183914327;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 16 July 2029;Infineon Technologies AG;ETR:IFX;XETRA (Frankfurt Stock Exchange);DE0006231004;Semiconductors;Technology
XS3183914327;Worst-of European Barrier Autocallable Equity Linked Securities linked to a Basket of Shares due 16 July 2029;Commerzbank AG;ETR:CBK;XETRA (Frankfurt Stock Exchange);DE000CBK1001;Banking;Financials
CH1453363280;Certificato Express in EUR su IonQ-Low Strike Softcallable;IonQ Inc;NYSE:IONQ;NYSE American LLC;US46222L1089;Quantum Computing;Technology
DE000UN4LA23;Cash Collect Memory su Basket Worst Of (Deutsche Bank, Banca MPS, Stellantis);Deutsche Bank AG;ETR:DBK;Xetra;DE0005140008;Banks;Financials
DE000UN4LA23;Cash Collect Memory su Basket Worst Of (Deutsche Bank, Banca MPS, Stellantis);Banca Monte dei Paschi di Siena S.p.A.;BIT:BMPS;BIT;IT0005218752;Banks;Financials
DE000UN4LA23;Cash Collect Memory su Basket Worst Of (Deutsche Bank, Banca MPS, Stellantis);Stellantis N.V.;BIT:STLAM;BIT;NL00150001Q9;Auto Manufacturers;Consumer Cyclical
