stock_name;stock_google_finance_ticker;stock_exchange;stock_isin;stock_industry;stock_sector
IonQ Inc;NYSE:IONQ;NYSE American LLC;US46222L1089;Quantum Computing;Technology
Deutsche Bank AG;ETR:DBK;Xetra;DE0005140008;Banks;Financials
Banca Monte dei Paschi di Siena S.p.A.;BIT:BMPS;BIT;IT0005218752;Banks;Financials
Stellantis N.V.;BIT:STLAM;BIT;NL00150001Q9;Auto Manufacturers;Consumer Cyclical
D-Wave Quantum Inc.;NYSE:QBTS;NYSE;US26740W1099;Quantum Computing;Technology
Rigetti Computing Inc.;NASDAQ:RGTI;NASDAQ;US76655K1034;Quantum Computing;Technology
BPER Banca S.p.A.;BIT:BPE;BIT;IT0000066123;Banking;Financials
Banco BPM S.p.A.;BIT:BAMI;BIT;IT0005218380;Banking;Financials
Commerzbank AG;ETR:CBK;XETRA;DE000CBK1001;Banking;Financials
STMicroelectronics NV;EPA:STMPA;EPA;NL0000226223;Semiconductors;Information Technology
Prysmian SpA;BIT:PRY;BIT;IT0004176001;Electrical Equipment;Industrials
Alphabet Inc;NASDAQ:GOOGL;NASDAQ;US02079K3059;Internet Content and Information;Communication Services
Microsoft Corp;NASDAQ:MSFT;NASDAQ;US5949181045;Software;Information Technology
C3.ai Inc;NYSE:AI;NYSE;US12468P1049;Software;Information Technology
EURO STOXX Banks Index;STOXX:SX7E;STOXX;N/A;Banking;Financials
S&P 500 Index;INDEXSP:.INX;CBOE;N/A;N/A;N/A
Nasdaq 100 Index;NVDA:NASDAQ;NASDAQ;N/A;N/A;N/A
Euro Stoxx 50;SX5E;N/A;EU0009658145;Indices;Finance
FTSE MIB;FTSEMIB;N/A;GB00BNNLHW18;Indices;Finance
Nikkei 225;NKY;N/A;JP9010C00002;Indices;Finance
KOSPI 200 Index;KOSPI2;N/A;KRD020020008;Indices;Finance
Commerzbank AG;FRA:CBK;XETRA (Frankfurt Stock Exchange);DE000CBK1001;Banks;Financials
Intesa Sanpaolo;BIT:ISP;Borsa Italiana S.p.A;IT0000072618;Banks;Financials
Banco Bilbao Vizcaya Argentaria (BBVA);BME:BBVA;BME;ES0113211835;Banks;Financials
Intel;NASDAQ:INTC;NASDAQ;N/A;N/A;N/A
Broadcom;NASDAQ:AVGO;NASDAQ;N/A;N/A;N/A
STMicroelectronics;STM;EPA;N/A;N/A;N/A
Advanced Micro Devices;NASDAQ:AMD;NASDAQ;N/A;N/A;N/A
Goldman Sachs;NYSE:GS;NYSE;N/A;N/A;N/A
Banco Santander;BME:SAN;BME;N/A;N/A;N/A
Morgan Stanley;NYSE:MS;NYSE;N/A;N/A;N/A
Leonardo;BIT:LDO;BIT;N/A;N/A;N/A
Boeing;NYSE:BA;NYSE;N/A;N/A;N/A
Rheinmetall;ETR:RHM;ETR;N/A;N/A;N/A
Thales;EPA:HO;EPA;N/A;N/A;N/A
Mercedes-Benz Group AG;MBG;XETRA;DE0007100000;Automotive;Automotive
Ford Motor Co;PLTR:NYSE;NYSE;US3453708600;Automotive;Automotive
Tesla Inc;NASDAQ:TSLA;NASDAQ;US88160R1014;Automotive;Automotive
Anglogold Ashanti ADR;AU;NYSE;GB00BRXH2664;Gold Mining;Basic Materials
Meta Platforms Inc;NASDAQ:META;NASDAQ;US30303M1027;Social Media;Communication Services
FERRARI NV;BIT:RACE;BIT;NL0011585146;Auto Manufacturers;Consumer Cyclical
HERMES INTERNATIONAL;RMS;EPA;FR0000052292;Luxury Goods;Consumer Cyclical
KERING;EPA:KER;EPA;FR0000121485;Luxury Goods;Consumer Cyclical
Zalando SE;ZAL.DE;XETRA;DE000ZAL1F18;Internet Retail;Consumer Cyclical
Delivery Hero SE;DHER.DE;XETRA;DE000A2E4K43;Restaurants;Consumer Cyclical
Moncler;BIT:MONC;BIT;IT0004965148;Luxury Goods;Consumer Cyclical
Royal Caribbean Cruises Ltd;RCL;NYSE;LR0008862868;Travel and Leisure;Consumer Cyclical
Burberry Group PLC;LON:BRBY;LSE;GB0031743007;Luxury Goods;Consumer Cyclical
Amazon.com Inc;NASDAQ:AMZN;NASDAQ;US0231351067;Internet Retail;Consumer Cyclical
Colgate-Palmolive;CL;NYSE;US1941621039;Household and Personal Products;Consumer Defensive
HelloFresh SE;HFG.DE;XETRA;DE000A161408;Food and Beverage;Consumer Defensive
Amazon;AMZN:NASDAQ;NASDAQ;US0231351067;E-commerce;Consumer Discretionary
DAVIDE CAMPARI-MILANO NV;CPR;BIT;NL0015435975;Beverages;Consumer Goods
iShares China Large-Cap ETF;NYSEARCA:FXI;Not Specified;Not Specified;Financial Services;ETFs
Eni;BIT:ENI;BIT;IT0003132636;Oil and Gas;Energy
TotalEnergies;TTE.PA;EPA;FR0000120271;Oil and Gas Integrated;Energy
Chevron;CVX;NYSE;US1667641005;Oil and Gas Integrated;Energy
Occidental Petroleum;OXY;NYSE;US6745991058;Oil and Gas Exploration and Production;Energy
Snam SpA;BIT:SRG;BIT;IT0003153415;Gas Utilities;Energy
Repsol;REP;BME;ES0173516115;Integrated Oil and Gas;Energy
British Petroleum;BP;LSE;GB00BN7L1Y91;Integrated Oil and Gas;Energy
TotalEnergies;TTE;EPA;FR0000120271;Integrated Oil and Gas;Energy
Equinor ASA;EQNR;Oslo Stock Exchange;NO0010096985;Oil and Gas;Energy
Solactive Constant Maturity BUND 10Y Yield Index;SOLDE10E;N/A;N/A;Government Bonds;Finance
iShares Silver Trust;NYSEARCA:SLV;NYSE Arca;US46428Q1094;Commodities;Financial
SPDR Gold Shares;NYSEARCA:GLD;NYSE Arca;US78463V1070;Commodities;Financial
Barclays PLC;LON:BARC;LSE;GB0031348658;Banking;Financial
Société Générale;EPA:GLE;EPA;FR0000130809;Banking;Financial
Unipol Assicurazioni SpA;BIT:UNI;BIT;IT0004810054;Insurance;Financial
Swiss Re AG;SWX:SREN;SIX Swiss Exchange;CH0126881561;Insurance;Financial
SCOR SE;EPA:SCR;EPA;FR0010411983;Insurance;Financial
iShares MSCI South Korea ETF;NYSEARCA:EWY;NYSE Arca;US4642867765;ETF;Financial
iShares MSCI China ETF;NASDAQ:MCHI;NASDAQ;US4642866858;ETF;Financial
Solactive BTP 10 Annual Comp. Yield Index;SOITA10Y;Solactive;N/A;Indices;Financial
Solactive Constant Maturity EU NXG 10Y;SOLEU10E;N/A;N/A;Indices;Financial
Unicredit;BIT:UCG;BIT;IT0005239367;Banks;Financial Services
AEGON LTD;AGN;Amsterdam;BMG0112X1056;Insurance;Financial Services
ALLIANZ SE-REG;ALV;Xetra;DE0008404005;Insurance;Financial Services
Raiffeisen Bank;VIE:RBI;Vienna Stock Exchange;AT0000606306;Banks-Regional;Financial Services
BNP Paribas;EPA:BNP;EPA;FR0000131104;Banks-Diversified;Financial Services
Banca MPS;BMPS:MIL;BIT;IT0005336171;Banks;Financial Services
CaixaBank S.A.;BME:CABK;BME;ES0118620317;Banks-Diversified;Financial Services
AXA SA;EPA:CS;EPA;FR0000120628;Insurance;Financials
Zurich Insurance Group;SWX:ZURN;SIX Swiss Exchange;CH0011075394;Insurance;Financials
NEXI;BIT:NEXI;BIT;IT0005366767;Financial Services;Financials
Fineco;BIT:FBK;BIT;IT0000072170;Banks;Financials
Poste Italiane S.p.A.;BIT:PST;BIT;IT0003794171;Diversified Financial Services;Financials
Generali;BIT:G;BIT;IT0000062072;Multi-line Insurance;Financials
Azimut Holding SpA;BIT:AZM;BIT;IT0003261697;Asset Management;Financials
Banca Generali SpA;BGN;BIT;IT0001031084;Banking;Financials
ESTX Insurance (EUR) Pr;SXIE;STOXX;EU0009658442;Insurance;Financials
EURO STOXX® Banks Index;STOXX;STOXX;EU0009658426;Banking;Financials
2.15% BTPS Italia (03/01/72);IT0005441883;BIT;IT0005441883;Government Bonds;Government
0.5% France Govt (05/25/2072);FR0014001NN8;Euronext;FR0014001NN8;Sovereign Debt;Government
BTP TF 0,95% GN32 EUR;MOT;MOT;IT0005405318;Sovereign Debt;Government
Banque de France TEC 10 CNO Constant 10 Year Maturity Treasury Benchmark;Euronext;Euronext;N/A;Sovereign Bonds;Government
BAYER AG-REG;BAYN;Xetra;DE000BAY0017;Pharmaceuticals;Healthcare
PFIZER INC-REG;PFE;NYSE;US7170811035;Pharmaceuticals;Healthcare
Moderna Inc;MRNA;NASDAQ;US60770K1079;Biotechnology;Healthcare
Merck and Co Inc;MRK;NYSE;US58933Y1055;Pharmaceuticals;Healthcare
Eli Lilly and Co;LLY;NYSE;US5324571083;Pharmaceuticals;Healthcare
S&P 500 Index;SPX;NYSE;US78378X1072;Index;Index
Fincantieri SpA;BIT:FCT;BIT;IT0005599938;Shipbuilding;Industrials
Siemens Energy AG;ETR:ENR;Xetra;DE000ENER6Y0;Energy Equipment and Services;Industrials
Microsoft;MSFT:NASDAQ;NASDAQ;US5949181045;Software;Information Technology
Dell;NYSE:DELL;NYSE;US24703L2025;Technology Hardware, Storage and Peripherals;Information Technology
Fortinet;NASDAQ:FTNT;NASDAQ;US34959E1091;Software;Information Technology
Oracle;NYSE:ORCL;NYSE;US68389X1054;Software;Information Technology
Coherent;NYSE:COHR;NYSE;US1924791031;Electronic Equipment, Instruments and Components;Information Technology
NVIDIA Corporation;NASDAQ:NVDA;NASDAQ;US67066G1040;Semiconductors;Information Technology
Micron Technology Inc;NASDAQ:MU;UW;N/A;N/A;N/A
Intel Corp;INTC UW;Not specified;Not specified;Not specified;Not specified
ASML Holding NV;ASML NA;Not specified;Not specified;Not specified;Not specified
STMicroelectronics NV;STMPA FP;Not specified;Not specified;Not specified;Not specified
ASML Holding N.V.;ASML;NASDAQ;US04583N1000;Semiconductor Equipment;Technology
Sandisk Corp;NASDAQ:SNDK;NASDAQ;US80004C1018;Semiconductors;Technology
Super Micro Computer Inc;NASDAQ:SMCI;NASDAQ;US86800U1043;Computer Hardware;Technology
STMicroelectronics NV;BIT:STMMI;BIT;NL0000226223;Semiconductors;Technology
Infineon Technologies AG;ETR:IFX;XETRA;DE0006231004;Semiconductors;Technology
UiPath;NYSE:PATH;NYSE;US90364P1057;Software;Technology
KLA;NASDAQ:KLAC;NASDAQ;US4824801009;Semiconductors;Technology
Palantir Technologies Inc;NYSE:PLTR;Not specified;US69608A1088;Software;Technology
Dassault Systemes SE;EPA:DSY;EPA;FR0014003TT8;Software;Technology
ESTX Technology (EUR) Pr;SX8E;STOXX;EU0009658582;Technology;Technology
HP INC.;HPQ;Not specified;Not specified;Hardware;Technology
ENEL SPA;BIT:ENEL;BIT;IT0003128367;Electric Utilities;Utilities
Engie SA;EPA:ENGI;EPA;FR0010208488;Multi-Utilities;Utilities
Erg;BIT:ERG;BIT;IT0001157057;Renewable Energy;Utilities
Veolia Environnement SA;VIE;EPA;FR0000124141;Environmental Services;Utilities
A2A SpA;A2A;BIT;IT0001233417;Electric Utilities;Utilities
E.ON SE;EOAN;XETRA;DE000ENAG999;Electric Utilities;Utilities
Endesa SA;ELE;BME;ES0130670112;Electric Utilities;Utilities
EURO STOXX Utilities;SX6E;STOXX;EU0009658962;Utilities;Utilities
iShares MSCI Brazil ETF;NYSEARCA:EWZ;NYSE Arca;US4642840076;Emerging Markets Equity;ETF
CAC 40;CAC;N/A;FR0003500008;Equity Index;Multi-Sector
Nasdaq-100 Index;NDX;N/A;US6311011026;Equity Index;Technology
Compagnie Financiere Richemont SA;SWX:CFR;SIX Swiss Exchange;CH0210483332;Apparel, Accessories and Luxury Goods;Consumer Discretionary
Planet Labs PBC;NYSE:PL;NYSE;US72703X1063;Space and Satellite Technology;Technology
Intuitive Machines Inc;NASDAQ:LUNR;NASDAQ;US46125A1007;Space and Satellite Technology;Industrials
EchoStar Corp;NASDAQ:SATS;NASDAQ;US2787681061;Space and Satellite Technology;Communication Services
AST SpaceMobile Inc;NASDAQ:ASTS;NASDAQ;US00217D1000;Telecommunications;Communication Services
Rocket Lab Corp;NASDAQ:RKLB;NASDAQ;US7731211089;Aerospace and Defense;Industrials
