id;labels;parents
EURONEXT;EURONEXT;
MOT;MOT;
AMSTERDAM;AMSTERDAM;
LSE;LSE;
XETRA;XETRA;
BORSA;BORSA;
BME;BME;
SOLACTIVE;SOLACTIVE;
VIENNA;VIENNA;
STOXX;STOXX;
NASDAQ;NASDAQ;
OSLO;OSLO;
BIT;BIT;
SIX;SIX;
NYSE;NYSE;
EPA;EPA;
Semiconductors-EPA;Semiconductors;EPA
Banks-Regional-VIENNA;Banks-Regional;VIENNA
Automotive-NASDAQ;Automotive;NASDAQ
Automotive-NYSE;Automotive;NYSE
Banks-XETRA;Banks;XETRA
Integrated Oil and Gas-EPA;Integrated Oil and Gas;EPA
Government Bonds-BIT;Government Bonds;BIT
Multi-Utilities-EPA;Multi-Utilities;EPA
Renewable Energy-BIT;Renewable Energy;BIT
Asset Management-BIT;Asset Management;BIT
Internet and Media-NASDAQ;Internet and Media;NASDAQ
Sovereign Bonds-EURONEXT;Sovereign Bonds;EURONEXT
Banking-BIT;Banking;BIT
Software-EPA;Software;EPA
Banks-Diversified-BME;Banks-Diversified;BME
Social Media-NASDAQ;Social Media;NASDAQ
Software-NYSE;Software;NYSE
Oil and Gas Integrated-NYSE;Oil and Gas Integrated;NYSE
ETF-NASDAQ;ETF;NASDAQ
Apparel, Accessories and Luxury Goods-SIX;Apparel, Accessories and Luxury Goods;SIX
E-Commerce and Cloud-NASDAQ;E-Commerce and Cloud;NASDAQ
Electric Utilities-BIT;Electric Utilities;BIT
Computer Hardware-NASDAQ;Computer Hardware;NASDAQ
Semiconductor Equipment-NASDAQ;Semiconductor Equipment;NASDAQ
Banks-BORSA;Banks;BORSA
Pharmaceuticals-XETRA;Pharmaceuticals;XETRA
Commodities-NYSE;Commodities;NYSE
Banking-XETRA;Banking;XETRA
Energy Equipment and Services-XETRA;Energy Equipment and Services;XETRA
Auto Manufacturers-BIT;Auto Manufacturers;BIT
Technology Hardware, Storage and Peripherals-NYSE;Technology Hardware, Storage and Peripherals;NYSE
Integrated Oil and Gas-LSE;Integrated Oil and Gas;LSE
Automotive-XETRA;Automotive;XETRA
Index-NYSE;Index;NYSE
ETF-NYSE;ETF;NYSE
Insurance-AMSTERDAM;Insurance;AMSTERDAM
Food and Beverage-XETRA;Food and Beverage;XETRA
Banks-BIT;Banks;BIT
Multi-line Insurance-BIT;Multi-line Insurance;BIT
Aerospace and Defense-BIT;Aerospace and Defense;BIT
Environmental Services-EPA;Environmental Services;EPA
Electrical Equipment-BIT;Electrical Equipment;BIT
Software-NASDAQ;Software;NASDAQ
Indices-SOLACTIVE;Indices;SOLACTIVE
Banking-STOXX;Banking;STOXX
Oil and Gas Exploration and Production-NYSE;Oil and Gas Exploration and Production;NYSE
Restaurants-XETRA;Restaurants;XETRA
Travel and Leisure-NYSE;Travel and Leisure;NYSE
Electronic Equipment, Instruments and Components-NYSE;Electronic Equipment, Instruments and Components;NYSE
Oil and Gas-BIT;Oil and Gas;BIT
Semiconductors-NASDAQ;Semiconductors;NASDAQ
Shipbuilding-BIT;Shipbuilding;BIT
Insurance-STOXX;Insurance;STOXX
Banking-EPA;Banking;EPA
Household and Personal Products-NYSE;Household and Personal Products;NYSE
