id,labels,parents
BIT,BIT,
Banking|BIT,Banking,BIT
Luxury Goods|BIT,Luxury Goods,BIT
Insurance|BIT,Insurance,BIT
Electric Utilities|BIT,Electric Utilities,BIT
Electrical Equipment|BIT,Electrical Equipment,BIT
Beverages|BIT,Beverages,BIT
Gas Utilities|BIT,Gas Utilities,BIT
Renewable Energy|BIT,Renewable Energy,BIT
Shipbuilding|BIT,Shipbuilding,BIT
Banks|BIT,Banks,BIT
Auto Manufacturers|BIT,Auto Manufacturers,BIT
Asset Management|BIT,Asset Management,BIT
Semiconductors|BIT,Semiconductors,BIT
Oil and Gas|BIT,Oil and Gas,BIT
Government Bonds|BIT,Government Bonds,BIT
Financial Services|BIT,Financial Services,BIT
Aerospace and Defense|BIT,Aerospace and Defense,BIT
Diversified Financial Services|BIT,Diversified Financial Services,BIT
Multi-line Insurance|BIT,Multi-line Insurance,BIT
Industrials|Electrical Equipment|BIT,Industrials,Electrical Equipment|BIT
Financials|Banks|BIT,Financials,Banks|BIT
Consumer Cyclical|Luxury Goods|BIT,Consumer Cyclical,Luxury Goods|BIT
Financials|Diversified Financial Services|BIT,Financials,Diversified Financial Services|BIT
Consumer Cyclical|Auto Manufacturers|BIT,Consumer Cyclical,Auto Manufacturers|BIT
Utilities|Renewable Energy|BIT,Utilities,Renewable Energy|BIT
Energy|Oil and Gas|BIT,Energy,Oil and Gas|BIT
Industrials|Aerospace and Defense|BIT,Industrials,Aerospace and Defense|BIT
Utilities|Electric Utilities|BIT,Utilities,Electric Utilities|BIT
Financial|Insurance|BIT,Financial,Insurance|BIT
Financial Services|Banks|BIT,Financial Services,Banks|BIT
Financials|Financial Services|BIT,Financials,Financial Services|BIT
Financials|Multi-line Insurance|BIT,Financials,Multi-line Insurance|BIT
Technology|Semiconductors|BIT,Technology,Semiconductors|BIT
Financials|Banking|BIT,Financials,Banking|BIT
Energy|Gas Utilities|BIT,Energy,Gas Utilities|BIT
Financials|Asset Management|BIT,Financials,Asset Management|BIT
Industrials|Shipbuilding|BIT,Industrials,Shipbuilding|BIT
Consumer Goods|Beverages|BIT,Consumer Goods,Beverages|BIT
Government|Government Bonds|BIT,Government,Government Bonds|BIT
STMMI.MI|Technology|Semiconductors|BIT,STMMI.MI,Technology|Semiconductors|BIT
CPR.MI|Consumer Goods|Beverages|BIT,CPR.MI,Consumer Goods|Beverages|BIT
BGN.MI|Financials|Banking|BIT,BGN.MI,Financials|Banking|BIT
G.MI|Financials|Multi-line Insurance|BIT,G.MI,Financials|Multi-line Insurance|BIT
PRY.MI|Industrials|Electrical Equipment|BIT,PRY.MI,Industrials|Electrical Equipment|BIT
ERG.MI|Utilities|Renewable Energy|BIT,ERG.MI,Utilities|Renewable Energy|BIT
SRG.MI|Energy|Gas Utilities|BIT,SRG.MI,Energy|Gas Utilities|BIT
MONC.MI|Consumer Cyclical|Luxury Goods|BIT,MONC.MI,Consumer Cyclical|Luxury Goods|BIT
IT0005441883.MI|Government|Government Bonds|BIT,IT0005441883.MI,Government|Government Bonds|BIT
UCG.MI|Financial Services|Banks|BIT,UCG.MI,Financial Services|Banks|BIT
FBK.MI|Financials|Banks|BIT,FBK.MI,Financials|Banks|BIT
BPE.MI|Financials|Banking|BIT,BPE.MI,Financials|Banking|BIT
ENEL.MI|Utilities|Electric Utilities|BIT,ENEL.MI,Utilities|Electric Utilities|BIT
BMPS.MI|Financials|Banks|BIT,BMPS.MI,Financials|Banks|BIT
ENI.MI|Energy|Oil and Gas|BIT,ENI.MI,Energy|Oil and Gas|BIT
UNI.MI|Financial|Insurance|BIT,UNI.MI,Financial|Insurance|BIT
A2A.MI|Utilities|Electric Utilities|BIT,A2A.MI,Utilities|Electric Utilities|BIT
BAMI.MI|Financials|Banking|BIT,BAMI.MI,Financials|Banking|BIT
LDO.MI|Industrials|Aerospace and Defense|BIT,LDO.MI,Industrials|Aerospace and Defense|BIT
NEXI.MI|Financials|Financial Services|BIT,NEXI.MI,Financials|Financial Services|BIT
FCT.MI|Industrials|Shipbuilding|BIT,FCT.MI,Industrials|Shipbuilding|BIT
RACE.MI|Consumer Cyclical|Auto Manufacturers|BIT,RACE.MI,Consumer Cyclical|Auto Manufacturers|BIT
MIL.MI|Financial Services|Banks|BIT,MIL.MI,Financial Services|Banks|BIT
PST.MI|Financials|Diversified Financial Services|BIT,PST.MI,Financials|Diversified Financial Services|BIT
AZM.MI|Financials|Asset Management|BIT,AZM.MI,Financials|Asset Management|BIT
STLAM.MI|Consumer Cyclical|Auto Manufacturers|BIT,STLAM.MI,Consumer Cyclical|Auto Manufacturers|BIT
