id,labels,parents
BME,BME,
Integrated Oil and Gas|BME,Integrated Oil and Gas,BME
Banks|BME,Banks,BME
Electric Utilities|BME,Electric Utilities,BME
Banks-Diversified|BME,Banks-Diversified,BME
Utilities|Electric Utilities|BME,Utilities,Electric Utilities|BME
Financials|Banks|BME,Financials,Banks|BME
Financial Services|Banks-Diversified|BME,Financial Services,Banks-Diversified|BME
Energy|Integrated Oil and Gas|BME,Energy,Integrated Oil and Gas|BME
REP.MC|Energy|Integrated Oil and Gas|BME,REP.MC,Energy|Integrated Oil and Gas|BME
CABK.MC|Financial Services|Banks-Diversified|BME,CABK.MC,Financial Services|Banks-Diversified|BME
BBVA.MC|Financials|Banks|BME,BBVA.MC,Financials|Banks|BME
ELE.MC|Utilities|Electric Utilities|BME,ELE.MC,Utilities|Electric Utilities|BME
