id,labels,parents
EPA,EPA,
Oil and Gas Integrated|EPA,Oil and Gas Integrated,EPA
Software|EPA,Software,EPA
Semiconductors|EPA,Semiconductors,EPA
Integrated Oil and Gas|EPA,Integrated Oil and Gas,EPA
Insurance|EPA,Insurance,EPA
Banking|EPA,Banking,EPA
Multi-Utilities|EPA,Multi-Utilities,EPA
Environmental Services|EPA,Environmental Services,EPA
Luxury Goods|EPA,Luxury Goods,EPA
Banks-Diversified|EPA,Banks-Diversified,EPA
Financial|Insurance|EPA,Financial,Insurance|EPA
Financial|Banking|EPA,Financial,Banking|EPA
Financials|Insurance|EPA,Financials,Insurance|EPA
Energy|Integrated Oil and Gas|EPA,Energy,Integrated Oil and Gas|EPA
Consumer Cyclical|Luxury Goods|EPA,Consumer Cyclical,Luxury Goods|EPA
Information Technology|Semiconductors|EPA,Information Technology,Semiconductors|EPA
Utilities|Multi-Utilities|EPA,Utilities,Multi-Utilities|EPA
Technology|Semiconductors|EPA,Technology,Semiconductors|EPA
Energy|Oil and Gas Integrated|EPA,Energy,Oil and Gas Integrated|EPA
Utilities|Environmental Services|EPA,Utilities,Environmental Services|EPA
Technology|Software|EPA,Technology,Software|EPA
Financial Services|Banks-Diversified|EPA,Financial Services,Banks-Diversified|EPA
SCRPA.PA|Financial|Insurance|EPA,SCRPA.PA,Financial|Insurance|EPA
BNPPA.PA|Financial Services|Banks-Diversified|EPA,BNPPA.PA,Financial Services|Banks-Diversified|EPA
KERPA.PA|Consumer Cyclical|Luxury Goods|EPA,KERPA.PA,Consumer Cyclical|Luxury Goods|EPA
GLEPA.PA|Financial|Banking|EPA,GLEPA.PA,Financial|Banking|EPA
TTE.PA|Energy|Oil and Gas Integrated|EPA,TTE.PA,Energy|Oil and Gas Integrated|EPA
TTEPA.PA|Energy|Integrated Oil and Gas|EPA,TTEPA.PA,Energy|Integrated Oil and Gas|EPA
STMPA.PA|Technology|Semiconductors|EPA,STMPA.PA,Technology|Semiconductors|EPA
STMPAPA.PA|Information Technology|Semiconductors|EPA,STMPAPA.PA,Information Technology|Semiconductors|EPA
ENGIPA.PA|Utilities|Multi-Utilities|EPA,ENGIPA.PA,Utilities|Multi-Utilities|EPA
DSYPA.PA|Technology|Software|EPA,DSYPA.PA,Technology|Software|EPA
CSPA.PA|Financials|Insurance|EPA,CSPA.PA,Financials|Insurance|EPA
VIEPA.PA|Utilities|Environmental Services|EPA,VIEPA.PA,Utilities|Environmental Services|EPA
RMSPA.PA|Consumer Cyclical|Luxury Goods|EPA,RMSPA.PA,Consumer Cyclical|Luxury Goods|EPA
