id,labels,parents
NYSE,NYSE,
Space and Satellite Technology|NYSE,Space and Satellite Technology,NYSE
Household and Personal Products|NYSE,Household and Personal Products,NYSE
Travel and Leisure|NYSE,Travel and Leisure,NYSE
Gold Mining|NYSE,Gold Mining,NYSE
ETF|NYSE,ETF,NYSE
Electronic Equipment Instruments and Components|NYSE,Electronic Equipment Instruments and Components,NYSE
Commodities|NYSE,Commodities,NYSE
Pharmaceuticals|NYSE,Pharmaceuticals,NYSE
Quantum-Computing|NYSE,Quantum-Computing,NYSE
Oil and Gas Exploration and Production|NYSE,Oil and Gas Exploration and Production,NYSE
Emerging Markets Equity|NYSE,Emerging Markets Equity,NYSE
Technology Hardware Storage and Peripherals|NYSE,Technology Hardware Storage and Peripherals,NYSE
Oil and Gas Integrated|NYSE,Oil and Gas Integrated,NYSE
Automotive|NYSE,Automotive,NYSE
Software|NYSE,Software,NYSE
Index|NYSE,Index,NYSE
Technology|Software|NYSE,Technology,Software|NYSE
Energy|Oil and Gas Integrated|NYSE,Energy,Oil and Gas Integrated|NYSE
Automotive|Automotive|NYSE,Automotive,Automotive|NYSE
Index|Index|NYSE,Index,Index|NYSE
Technology|Quantum-Computing|NYSE,Technology,Quantum-Computing|NYSE
Technology|Space and Satellite Technology|NYSE,Technology,Space and Satellite Technology|NYSE
Healthcare|Pharmaceuticals|NYSE,Healthcare,Pharmaceuticals|NYSE
Basic Materials|Gold Mining|NYSE,Basic Materials,Gold Mining|NYSE
Financial|ETF|NYSE,Financial,ETF|NYSE
Energy|Oil and Gas Exploration and Production|NYSE,Energy,Oil and Gas Exploration and Production|NYSE
Consumer Cyclical|Travel and Leisure|NYSE,Consumer Cyclical,Travel and Leisure|NYSE
ETF|Emerging Markets Equity|NYSE,ETF,Emerging Markets Equity|NYSE
Consumer Defensive|Household and Personal Products|NYSE,Consumer Defensive,Household and Personal Products|NYSE
Information Technology|Electronic Equipment Instruments and Components|NYSE,Information Technology,Electronic Equipment Instruments and Components|NYSE
Financial|Commodities|NYSE,Financial,Commodities|NYSE
Information Technology|Technology Hardware Storage and Peripherals|NYSE,Information Technology,Technology Hardware Storage and Peripherals|NYSE
Information Technology|Software|NYSE,Information Technology,Software|NYSE
AI|Information Technology|Software|NYSE,AI,Information Technology|Software|NYSE
LLY|Healthcare|Pharmaceuticals|NYSE,LLY,Healthcare|Pharmaceuticals|NYSE
GLD|Financial|Commodities|NYSE,GLD,Financial|Commodities|NYSE
DELL|Information Technology|Technology Hardware Storage and Peripherals|NYSE,DELL,Information Technology|Technology Hardware Storage and Peripherals|NYSE
^SPX|Index|Index|NYSE,^SPX,Index|Index|NYSE
PL|Technology|Space and Satellite Technology|NYSE,PL,Technology|Space and Satellite Technology|NYSE
OXY|Energy|Oil and Gas Exploration and Production|NYSE,OXY,Energy|Oil and Gas Exploration and Production|NYSE
CL|Consumer Defensive|Household and Personal Products|NYSE,CL,Consumer Defensive|Household and Personal Products|NYSE
COHR|Information Technology|Electronic Equipment Instruments and Components|NYSE,COHR,Information Technology|Electronic Equipment Instruments and Components|NYSE
NYSE|Automotive|Automotive|NYSE,NYSE,Automotive|Automotive|NYSE
EWZ|ETF|Emerging Markets Equity|NYSE,EWZ,ETF|Emerging Markets Equity|NYSE
IONQ|Technology|Quantum-Computing|NYSE,IONQ,Technology|Quantum-Computing|NYSE
CVX|Energy|Oil and Gas Integrated|NYSE,CVX,Energy|Oil and Gas Integrated|NYSE
PFE|Healthcare|Pharmaceuticals|NYSE,PFE,Healthcare|Pharmaceuticals|NYSE
AU|Basic Materials|Gold Mining|NYSE,AU,Basic Materials|Gold Mining|NYSE
QBTS|Technology|Quantum-Computing|NYSE,QBTS,Technology|Quantum-Computing|NYSE
MRK|Healthcare|Pharmaceuticals|NYSE,MRK,Healthcare|Pharmaceuticals|NYSE
SLV|Financial|Commodities|NYSE,SLV,Financial|Commodities|NYSE
RCL|Consumer Cyclical|Travel and Leisure|NYSE,RCL,Consumer Cyclical|Travel and Leisure|NYSE
EWY|Financial|ETF|NYSE,EWY,Financial|ETF|NYSE
PATH|Technology|Software|NYSE,PATH,Technology|Software|NYSE
ORCL|Information Technology|Software|NYSE,ORCL,Information Technology|Software|NYSE
