id,labels,parents
STOXX,STOXX,
Technology|STOXX,Technology,STOXX
Banking|STOXX,Banking,STOXX
Utilities|STOXX,Utilities,STOXX
Insurance|STOXX,Insurance,STOXX
Utilities|Utilities|STOXX,Utilities,Utilities|STOXX
Technology|Technology|STOXX,Technology,Technology|STOXX
Financials|Banking|STOXX,Financials,Banking|STOXX
Financials|Insurance|STOXX,Financials,Insurance|STOXX
^SX7E|Financials|Banking|STOXX,^SX7E,Financials|Banking|STOXX
SX8E|Technology|Technology|STOXX,SX8E,Technology|Technology|STOXX
^STOXX|Financials|Banking|STOXX,^STOXX,Financials|Banking|STOXX
SX6E|Utilities|Utilities|STOXX,SX6E,Utilities|Utilities|STOXX
SXIE|Financials|Insurance|STOXX,SXIE,Financials|Insurance|STOXX
