id,labels,parents
XETRA,XETRA,
Banking|XETRA,Banking,XETRA
Energy Equipment and Services|XETRA,Energy Equipment and Services,XETRA
Food and Beverage|XETRA,Food and Beverage,XETRA
Insurance|XETRA,Insurance,XETRA
Electric Utilities|XETRA,Electric Utilities,XETRA
Semiconductors|XETRA,Semiconductors,XETRA
Automotive|XETRA,Automotive,XETRA
Banks|XETRA,Banks,XETRA
Restaurants|XETRA,Restaurants,XETRA
Pharmaceuticals|XETRA,Pharmaceuticals,XETRA
Internet Retail|XETRA,Internet Retail,XETRA
Financials|Banks|XETRA,Financials,Banks|XETRA
Utilities|Electric Utilities|XETRA,Utilities,Electric Utilities|XETRA
Financials|Banking|XETRA,Financials,Banking|XETRA
Healthcare|Pharmaceuticals|XETRA,Healthcare,Pharmaceuticals|XETRA
Technology|Semiconductors|XETRA,Technology,Semiconductors|XETRA
Industrials|Energy Equipment and Services|XETRA,Industrials,Energy Equipment and Services|XETRA
Automotive|Automotive|XETRA,Automotive,Automotive|XETRA
Financial Services|Insurance|XETRA,Financial Services,Insurance|XETRA
Consumer Cyclical|Restaurants|XETRA,Consumer Cyclical,Restaurants|XETRA
Consumer Defensive|Food and Beverage|XETRA,Consumer Defensive,Food and Beverage|XETRA
Consumer Cyclical|Internet Retail|XETRA,Consumer Cyclical,Internet Retail|XETRA
DBK.DE|Financials|Banks|XETRA,DBK.DE,Financials|Banks|XETRA
ZAL.DE|Consumer Cyclical|Internet Retail|XETRA,ZAL.DE,Consumer Cyclical|Internet Retail|XETRA
EOAN.DE|Utilities|Electric Utilities|XETRA,EOAN.DE,Utilities|Electric Utilities|XETRA
MBG.DE|Automotive|Automotive|XETRA,MBG.DE,Automotive|Automotive|XETRA
CBK.DE|Financials|Banks|XETRA,CBK.DE,Financials|Banks|XETRA
DHER.DE|Consumer Cyclical|Restaurants|XETRA,DHER.DE,Consumer Cyclical|Restaurants|XETRA
ALV|Financial Services|Insurance|XETRA,ALV,Financial Services|Insurance|XETRA
HFG.DE|Consumer Defensive|Food and Beverage|XETRA,HFG.DE,Consumer Defensive|Food and Beverage|XETRA
BAYN|Healthcare|Pharmaceuticals|XETRA,BAYN,Healthcare|Pharmaceuticals|XETRA
IFX.DE|Technology|Semiconductors|XETRA,IFX.DE,Technology|Semiconductors|XETRA
ENR.DE|Industrials|Energy Equipment and Services|XETRA,ENR.DE,Industrials|Energy Equipment and Services|XETRA
CBK.DE|Financials|Banking|XETRA,CBK.DE,Financials|Banking|XETRA
