ids,labels,parents,values,counts,avgs
MOT,MOT,,0,1,0
LSE,LSE,,-0.6,1,-0.6
XETRA,XETRA,,-9.46,11,-0.86
BORSA,BORSA,,-1.24,1,-1.24
BME,BME,,-0.38,4,-0.1
VIENNA,VIENNA,,0,1,0
NASDAQ,NASDAQ,,-90.71,21,-4.32
OSLO,OSLO,,-0.67,1,-0.67
BIT,BIT,,-19.68,24,-0.82
SIX,SIX,,3.12,2,1.56
NYSE,NYSE,,-51.11,21,-2.43
EPA,EPA,,-5.07,2,-2.54
Space and Satellite Technology|NASDAQ,Space and Satellite Technology,NASDAQ,-9.49,2,-4.75
Space and Satellite Technology|NYSE,Space and Satellite Technology,NYSE,-11.29,1,-11.29
Banking|BIT,Banking,BIT,-4.55,3,-1.52
Social Media|NASDAQ,Social Media,NASDAQ,-2.46,1,-2.46
Telecommunications|NASDAQ,Telecommunications,NASDAQ,-17.04,1,-17.04
Integrated Oil and Gas|BME,Integrated Oil and Gas,BME,1.41,1,1.41
Oil and Gas Integrated|EPA,Oil and Gas Integrated,EPA,1.22,1,1.22
Banks|BME,Banks,BME,-2.43,1,-2.43
Luxury Goods|BIT,Luxury Goods,BIT,-1.73,1,-1.73
Insurance|BIT,Insurance,BIT,-2.22,1,-2.22
Electric Utilities|BIT,Electric Utilities,BIT,3.46,2,1.73
Household and Personal Products|NYSE,Household and Personal Products,NYSE,2.84,1,2.84
Semiconductors|EPA,Semiconductors,EPA,-6.29,1,-6.29
Electrical Equipment|BIT,Electrical Equipment,BIT,-4.95,1,-4.95
Banking|XETRA,Banking,XETRA,-3.1,1,-3.1
Travel and Leisure|NYSE,Travel and Leisure,NYSE,0.61,1,0.61
Beverages|BIT,Beverages,BIT,1.06,1,1.06
E-Commerce and Cloud|NASDAQ,E-Commerce and Cloud,NASDAQ,-1.99,1,-1.99
Gas Utilities|BIT,Gas Utilities,BIT,1.76,1,1.76
Insurance|SIX,Insurance,SIX,0,1,0
Gold Mining|NYSE,Gold Mining,NYSE,-3.53,1,-3.53
ETF|NASDAQ,ETF,NASDAQ,-0.02,1,-0.02
Apparel Accessories and Luxury Goods|SIX,Apparel Accessories and Luxury Goods,SIX,3.12,1,3.12
Renewable Energy|BIT,Renewable Energy,BIT,0.44,1,0.44
Integrated Oil and Gas|LSE,Integrated Oil and Gas,LSE,-0.6,1,-0.6
Oil and Gas|OSLO,Oil and Gas,OSLO,-0.67,1,-0.67
Shipbuilding|BIT,Shipbuilding,BIT,-0.72,1,-0.72
Energy Equipment and Services|XETRA,Energy Equipment and Services,XETRA,-1.88,1,-1.88
Banks|BIT,Banks,BIT,-5.04,3,-1.68
Food and Beverage|XETRA,Food and Beverage,XETRA,3.06,1,3.06
