id,labels,parents,values
LSE,LSE,,-0.6
XETRA,XETRA,,-5.33
BORSA,BORSA,,0.82
BME,BME,,3.32
NASDAQ,NASDAQ,,-90.71
OSLO,OSLO,,-0.67
BIT,BIT,,2.15
SIX,SIX,,3.12
NYSE,NYSE,,-51.11
EPA,EPA,,-6.4
Space and Satellite Technology|NASDAQ,Space and Satellite Technology,NASDAQ,-9.49
Space and Satellite Technology|NYSE,Space and Satellite Technology,NYSE,-11.29
Banking|BIT,Banking,BIT,1.18
Social Media|NASDAQ,Social Media,NASDAQ,-2.46
Telecommunications|NASDAQ,Telecommunications,NASDAQ,-17.04
Integrated Oil and Gas|BME,Integrated Oil and Gas,BME,1.22
Oil and Gas Integrated|EPA,Oil and Gas Integrated,EPA,-1.49
Banks|BME,Banks,BME,1.76
Luxury Goods|BIT,Luxury Goods,BIT,2.68
Insurance|BIT,Insurance,BIT,1.64
Electric Utilities|BIT,Electric Utilities,BIT,-3.1
Household and Personal Products|NYSE,Household and Personal Products,NYSE,2.84
Semiconductors|EPA,Semiconductors,EPA,-4.91
Electrical Equipment|BIT,Electrical Equipment,BIT,-2.27
Banking|XETRA,Banking,XETRA,0
Travel and Leisure|NYSE,Travel and Leisure,NYSE,0.61
Beverages|BIT,Beverages,BIT,1.65
E-Commerce and Cloud|NASDAQ,E-Commerce and Cloud,NASDAQ,-1.99
Gas Utilities|BIT,Gas Utilities,BIT,-0.33
Gold Mining|NYSE,Gold Mining,NYSE,-3.53
ETF|NASDAQ,ETF,NASDAQ,-0.02
Apparel Accessories and Luxury Goods|SIX,Apparel Accessories and Luxury Goods,SIX,3.12
Renewable Energy|BIT,Renewable Energy,BIT,-1.56
Integrated Oil and Gas|LSE,Integrated Oil and Gas,LSE,-0.6
Oil and Gas|OSLO,Oil and Gas,OSLO,-0.67
Shipbuilding|BIT,Shipbuilding,BIT,4.18
Energy Equipment and Services|XETRA,Energy Equipment and Services,XETRA,-2.26
Banks|BIT,Banks,BIT,0.98
Food and Beverage|XETRA,Food and Beverage,XETRA,2.08
Semiconductors|NASDAQ,Semiconductors,NASDAQ,-17.32
Insurance|XETRA,Insurance,XETRA,1.8
Software|NASDAQ,Software,NASDAQ,-0.89
Electric Utilities|XETRA,Electric Utilities,XETRA,-2.3
Auto Manufacturers|BIT,Auto Manufacturers,BIT,3.12
ETF|NYSE,ETF,NYSE,-4.82
Asset Management|BIT,Asset Management,BIT,-0.33
