id,labels,parents
EURONEXT,EURONEXT,
MOT,MOT,
AMSTERDAM,AMSTERDAM,
LSE,LSE,
XETRA,XETRA,
BORSA,BORSA,
BME,BME,
SOLACTIVE,SOLACTIVE,
VIENNA,VIENNA,
STOXX,STOXX,
NASDAQ,NASDAQ,
OSLO,OSLO,
BIT,BIT,
SIX,SIX,
NYSE,NYSE,
EPA,EPA,
Space and Satellite Technology|NASDAQ,Space and Satellite Technology,NASDAQ
Space and Satellite Technology|NYSE,Space and Satellite Technology,NYSE
Banking|BIT,Banking,BIT
Social Media|NASDAQ,Social Media,NASDAQ
Telecommunications|NASDAQ,Telecommunications,NASDAQ
Sovereign Bonds|EURONEXT,Sovereign Bonds,EURONEXT
Integrated Oil and Gas|BME,Integrated Oil and Gas,BME
Oil and Gas Integrated|EPA,Oil and Gas Integrated,EPA
Banks|BME,Banks,BME
Luxury Goods|BIT,Luxury Goods,BIT
Insurance|BIT,Insurance,BIT
Electric Utilities|BIT,Electric Utilities,BIT
Household and Personal Products|NYSE,Household and Personal Products,NYSE
Software|EPA,Software,EPA
Semiconductors|EPA,Semiconductors,EPA
Electrical Equipment|BIT,Electrical Equipment,BIT
Integrated Oil and Gas|EPA,Integrated Oil and Gas,EPA
Banking|XETRA,Banking,XETRA
Travel and Leisure|NYSE,Travel and Leisure,NYSE
Beverages|BIT,Beverages,BIT
E-Commerce and Cloud|NASDAQ,E-Commerce and Cloud,NASDAQ
Sovereign Debt|EURONEXT,Sovereign Debt,EURONEXT
Gas Utilities|BIT,Gas Utilities,BIT
Luxury Goods|LSE,Luxury Goods,LSE
Insurance|SIX,Insurance,SIX
Gold Mining|NYSE,Gold Mining,NYSE
ETF|NASDAQ,ETF,NASDAQ
Technology|STOXX,Technology,STOXX
Apparel Accessories and Luxury Goods|SIX,Apparel Accessories and Luxury Goods,SIX
Renewable Energy|BIT,Renewable Energy,BIT
Integrated Oil and Gas|LSE,Integrated Oil and Gas,LSE
Oil and Gas|OSLO,Oil and Gas,OSLO
Shipbuilding|BIT,Shipbuilding,BIT
Banking|LSE,Banking,LSE
Energy Equipment and Services|XETRA,Energy Equipment and Services,XETRA
Banks|BIT,Banks,BIT
Food and Beverage|XETRA,Food and Beverage,XETRA
Semiconductors|NASDAQ,Semiconductors,NASDAQ
Insurance|XETRA,Insurance,XETRA
Banking|STOXX,Banking,STOXX
Software|NASDAQ,Software,NASDAQ
Electric Utilities|XETRA,Electric Utilities,XETRA
Auto Manufacturers|BIT,Auto Manufacturers,BIT
ETF|NYSE,ETF,NYSE
Asset Management|BIT,Asset Management,BIT
Semiconductors|XETRA,Semiconductors,XETRA
Aerospace and Defense|NASDAQ,Aerospace and Defense,NASDAQ
Consumer Electronics|NASDAQ,Consumer Electronics,NASDAQ
Semiconductors|BIT,Semiconductors,BIT
Insurance|EPA,Insurance,EPA
Oil and Gas|BIT,Oil and Gas,BIT
Banking|EPA,Banking,EPA
Computer Hardware|NASDAQ,Computer Hardware,NASDAQ
Semiconductor Equipment|NASDAQ,Semiconductor Equipment,NASDAQ
Sovereign Debt|MOT,Sovereign Debt,MOT
Electronic Equipment Instruments and Components|NYSE,Electronic Equipment Instruments and Components,NYSE
Commodities|NYSE,Commodities,NYSE
