id;labels;parents
BIT;BIT;
Government Bonds-BIT;Government Bonds;BIT
Renewable Energy-BIT;Renewable Energy;BIT
Asset Management-BIT;Asset Management;BIT
Banking-BIT;Banking;BIT
Electric Utilities-BIT;Electric Utilities;BIT
Auto Manufacturers-BIT;Auto Manufacturers;BIT
Banks-BIT;Banks;BIT
Multi-line Insurance-BIT;Multi-line Insurance;BIT
Aerospace and Defense-BIT;Aerospace and Defense;BIT
Electrical Equipment-BIT;Electrical Equipment;BIT
Oil and Gas-BIT;Oil and Gas;BIT
Shipbuilding-BIT;Shipbuilding;BIT
Financial Services-BIT;Financial Services;BIT
Insurance-BIT;Insurance;BIT
Semiconductors-BIT;Semiconductors;BIT
Diversified Financial Services-BIT;Diversified Financial Services;BIT
Beverages-BIT;Beverages;BIT
Gas Utilities-BIT;Gas Utilities;BIT
Luxury Goods-BIT;Luxury Goods;BIT
Financials-Banking-BIT;Financials;Banking-BIT
Consumer Cyclical-Luxury Goods-BIT;Consumer Cyclical;Luxury Goods-BIT
Energy-Gas Utilities-BIT;Energy;Gas Utilities-BIT
Industrials-Shipbuilding-BIT;Industrials;Shipbuilding-BIT
Consumer Goods-Beverages-BIT;Consumer Goods;Beverages-BIT
Utilities-Renewable Energy-BIT;Utilities;Renewable Energy-BIT
Industrials-Electrical Equipment-BIT;Industrials;Electrical Equipment-BIT
Energy-Oil and Gas-BIT;Energy;Oil and Gas-BIT
Consumer Cyclical-Auto Manufacturers-BIT;Consumer Cyclical;Auto Manufacturers-BIT
Financials-Diversified Financial Services-BIT;Financials;Diversified Financial Services-BIT
Financials-Banks-BIT;Financials;Banks-BIT
Technology-Semiconductors-BIT;Technology;Semiconductors-BIT
Utilities-Electric Utilities-BIT;Utilities;Electric Utilities-BIT
Financials-Financial Services-BIT;Financials;Financial Services-BIT
Government-Government Bonds-BIT;Government;Government Bonds-BIT
Industrials-Aerospace and Defense-BIT;Industrials;Aerospace and Defense-BIT
Financials-Multi-line Insurance-BIT;Financials;Multi-line Insurance-BIT
Financial Services-Banks-BIT;Financial Services;Banks-BIT
Financial-Insurance-BIT;Financial;Insurance-BIT
Financials-Asset Management-BIT;Financials;Asset Management-BIT
BMPS.MI-Financials-Banks-BIT;BMPS.MI;Financials-Banks-BIT
IT0005441883.MI-Government-Government Bonds-BIT;IT0005441883.MI;Government-Government Bonds-BIT
FBK.MI-Financials-Banks-BIT;FBK.MI;Financials-Banks-BIT
AZM.MI-Financials-Asset Management-BIT;AZM.MI;Financials-Asset Management-BIT
NEXI.MI-Financials-Financial Services-BIT;NEXI.MI;Financials-Financial Services-BIT
MIL.MI-Financial Services-Banks-BIT;MIL.MI;Financial Services-Banks-BIT
SRG.MI-Energy-Gas Utilities-BIT;SRG.MI;Energy-Gas Utilities-BIT
ENEL.MI-Utilities-Electric Utilities-BIT;ENEL.MI;Utilities-Electric Utilities-BIT
CPR.MI-Consumer Goods-Beverages-BIT;CPR.MI;Consumer Goods-Beverages-BIT
G.MI-Financials-Multi-line Insurance-BIT;G.MI;Financials-Multi-line Insurance-BIT
BPE.MI-Financials-Banking-BIT;BPE.MI;Financials-Banking-BIT
FCT.MI-Industrials-Shipbuilding-BIT;FCT.MI;Industrials-Shipbuilding-BIT
PRY.MI-Industrials-Electrical Equipment-BIT;PRY.MI;Industrials-Electrical Equipment-BIT
PST.MI-Financials-Diversified Financial Services-BIT;PST.MI;Financials-Diversified Financial Services-BIT
UCG.MI-Financial Services-Banks-BIT;UCG.MI;Financial Services-Banks-BIT
STMMI.MI-Technology-Semiconductors-BIT;STMMI.MI;Technology-Semiconductors-BIT
A2A.MI-Utilities-Electric Utilities-BIT;A2A.MI;Utilities-Electric Utilities-BIT
STLAM.MI-Consumer Cyclical-Auto Manufacturers-BIT;STLAM.MI;Consumer Cyclical-Auto Manufacturers-BIT
UNI.MI-Financial-Insurance-BIT;UNI.MI;Financial-Insurance-BIT
LDO.MI-Industrials-Aerospace and Defense-BIT;LDO.MI;Industrials-Aerospace and Defense-BIT
ENI.MI-Energy-Oil and Gas-BIT;ENI.MI;Energy-Oil and Gas-BIT
RACE.MI-Consumer Cyclical-Auto Manufacturers-BIT;RACE.MI;Consumer Cyclical-Auto Manufacturers-BIT
MONC.MI-Consumer Cyclical-Luxury Goods-BIT;MONC.MI;Consumer Cyclical-Luxury Goods-BIT
BAMI.MI-Financials-Banking-BIT;BAMI.MI;Financials-Banking-BIT
BGN.MI-Financials-Banking-BIT;BGN.MI;Financials-Banking-BIT
ERG.MI-Utilities-Renewable Energy-BIT;ERG.MI;Utilities-Renewable Energy-BIT
