id;labels;parents
LSE;LSE;
Integrated Oil and Gas-LSE;Integrated Oil and Gas;LSE
Banking-LSE;Banking;LSE
Luxury Goods-LSE;Luxury Goods;LSE
Energy-Integrated Oil and Gas-LSE;Energy;Integrated Oil and Gas-LSE
Financial-Banking-LSE;Financial;Banking-LSE
Consumer Cyclical-Luxury Goods-LSE;Consumer Cyclical;Luxury Goods-LSE
BARC-Financial-Banking-LSE;BARC;Financial-Banking-LSE
BP-Energy-Integrated Oil and Gas-LSE;BP;Energy-Integrated Oil and Gas-LSE
BRBY-Consumer Cyclical-Luxury Goods-LSE;BRBY;Consumer Cyclical-Luxury Goods-LSE
