id;labels;parents
NASDAQ;NASDAQ;
Automotive-NASDAQ;Automotive;NASDAQ
Internet and Media-NASDAQ;Internet and Media;NASDAQ
Social Media-NASDAQ;Social Media;NASDAQ
ETF-NASDAQ;ETF;NASDAQ
E-Commerce and Cloud-NASDAQ;E-Commerce and Cloud;NASDAQ
Computer Hardware-NASDAQ;Computer Hardware;NASDAQ
Semiconductor Equipment-NASDAQ;Semiconductor Equipment;NASDAQ
Software-NASDAQ;Software;NASDAQ
Semiconductors-NASDAQ;Semiconductors;NASDAQ
Telecommunications-NASDAQ;Telecommunications;NASDAQ
Space and Satellite Technology-NASDAQ;Space and Satellite Technology;NASDAQ
Aerospace and Defense-NASDAQ;Aerospace and Defense;NASDAQ
Consumer Electronics-NASDAQ;Consumer Electronics;NASDAQ
Biotechnology-NASDAQ;Biotechnology;NASDAQ
E-commerce-NASDAQ;E-commerce;NASDAQ
Quantum Computing-NASDAQ;Quantum Computing;NASDAQ
Communication Services-Telecommunications-NASDAQ;Communication Services;Telecommunications-NASDAQ
Financial-ETF-NASDAQ;Financial;ETF-NASDAQ
Consumer Discretionary-E-commerce-NASDAQ;Consumer Discretionary;E-commerce-NASDAQ
Communication Services-Space and Satellite Technology-NASDAQ;Communication Services;Space and Satellite Technology-NASDAQ
Healthcare-Biotechnology-NASDAQ;Healthcare;Biotechnology-NASDAQ
Consumer Discretionary-E-Commerce and Cloud-NASDAQ;Consumer Discretionary;E-Commerce and Cloud-NASDAQ
Technology-Consumer Electronics-NASDAQ;Technology;Consumer Electronics-NASDAQ
Information Technology-Semiconductors-NASDAQ;Information Technology;Semiconductors-NASDAQ
Industrials-Space and Satellite Technology-NASDAQ;Industrials;Space and Satellite Technology-NASDAQ
Industrials-Aerospace and Defense-NASDAQ;Industrials;Aerospace and Defense-NASDAQ
Technology-Semiconductors-NASDAQ;Technology;Semiconductors-NASDAQ
Communication Services-Social Media-NASDAQ;Communication Services;Social Media-NASDAQ
Automotive-Automotive-NASDAQ;Automotive;Automotive-NASDAQ
Communication Services-Internet and Media-NASDAQ;Communication Services;Internet and Media-NASDAQ
Technology-Quantum Computing-NASDAQ;Technology;Quantum Computing-NASDAQ
Technology-Computer Hardware-NASDAQ;Technology;Computer Hardware-NASDAQ
Technology-Semiconductor Equipment-NASDAQ;Technology;Semiconductor Equipment-NASDAQ
Information Technology-Software-NASDAQ;Information Technology;Software-NASDAQ
AAPL-Technology-Consumer Electronics-NASDAQ;AAPL;Technology-Consumer Electronics-NASDAQ
SATS-Communication Services-Space and Satellite Technology-NASDAQ;SATS;Communication Services-Space and Satellite Technology-NASDAQ
META-Communication Services-Social Media-NASDAQ;META;Communication Services-Social Media-NASDAQ
TSLA-Automotive-Automotive-NASDAQ;TSLA;Automotive-Automotive-NASDAQ
FTNT-Information Technology-Software-NASDAQ;FTNT;Information Technology-Software-NASDAQ
NVDA-Information Technology-Semiconductors-NASDAQ;NVDA;Information Technology-Semiconductors-NASDAQ
SNDK-Technology-Semiconductors-NASDAQ;SNDK;Technology-Semiconductors-NASDAQ
AMZN-Consumer Discretionary-E-Commerce and Cloud-NASDAQ;AMZN;Consumer Discretionary-E-Commerce and Cloud-NASDAQ
KLAC-Technology-Semiconductors-NASDAQ;KLAC;Technology-Semiconductors-NASDAQ
ASTS-Communication Services-Telecommunications-NASDAQ;ASTS;Communication Services-Telecommunications-NASDAQ
RGTI-Technology-Quantum Computing-NASDAQ;RGTI;Technology-Quantum Computing-NASDAQ
LUNR-Industrials-Space and Satellite Technology-NASDAQ;LUNR;Industrials-Space and Satellite Technology-NASDAQ
NASDAQ-Information Technology-Software-NASDAQ;NASDAQ;Information Technology-Software-NASDAQ
GOOGL-Communication Services-Internet and Media-NASDAQ;GOOGL;Communication Services-Internet and Media-NASDAQ
MCHI-Financial-ETF-NASDAQ;MCHI;Financial-ETF-NASDAQ
RKLB-Industrials-Aerospace and Defense-NASDAQ;RKLB;Industrials-Aerospace and Defense-NASDAQ
SPCX-Industrials-Aerospace and Defense-NASDAQ;SPCX;Industrials-Aerospace and Defense-NASDAQ
MSFT-Information Technology-Software-NASDAQ;MSFT;Information Technology-Software-NASDAQ
NASDAQ-Consumer Discretionary-E-commerce-NASDAQ;NASDAQ;Consumer Discretionary-E-commerce-NASDAQ
MRNA-Healthcare-Biotechnology-NASDAQ;MRNA;Healthcare-Biotechnology-NASDAQ
ASML-Technology-Semiconductor Equipment-NASDAQ;ASML;Technology-Semiconductor Equipment-NASDAQ
SMCI-Technology-Computer Hardware-NASDAQ;SMCI;Technology-Computer Hardware-NASDAQ
