stock_google_finance_ticker;stock_name;stock_exchange;stock_isin;stock_industry;stock_sector
NASDAQ:AAPL;Apple Inc;NASDAQ;US0378331005;Consumer Electronics;Technology
NASDAQ:AMZN;Amazon.com Inc;NASDAQ;US0231351067;E-Commerce and Cloud;Consumer Discretionary
NASDAQ:GOOGL;Alphabet Inc;NASDAQ;US02079K3059;Internet and Media;Communication Services
NASDAQ:SPCX;Space Exploration Technologies Corp;NASDAQ;US84615Q1031;Aerospace and Defense;Industrials
BIT:LDO;Leonardo S.p.A.;BIT;IT0003856405;Aerospace and Defense;Industrials
NASDAQ:RKLB;Rocket Lab USA, Inc.;Nasdaq Global Select Market;US7731211089;Aerospace and Defense;Industrials
EPA:STM;STMicroelectronics N.V.;EPA;NL0000226223;Semiconductors;Technology
BIT:STMMI;STMicroelectronics N.V.;BIT;NL0000226223;Semiconductors;Technology
ETR:IFX;Infineon Technologies AG;XETRA (Frankfurt Stock Exchange);DE0006231004;Semiconductors;Technology
ETR:CBK;Commerzbank AG;XETRA (Frankfurt Stock Exchange);DE000CBK1001;Banking;Financials
NYSE:IONQ;IonQ Inc;NYSE American LLC;US46222L1089;Quantum-Computing;Technology
ETR:DBK;Deutsche Bank AG;Xetra;DE0005140008;Banks;Financials
BIT:BMPS;Banca Monte dei Paschi di Siena S.p.A.;BIT;IT0005218752;Banks;Financials
BIT:STLAM;Stellantis N.V.;BIT;NL00150001Q9;Auto Manufacturers;Consumer Cyclical
NYSE:QBTS;D-Wave Quantum Inc.;NYSE;US26740W1099;Quantum-Computing;Technology
NASDAQ:RGTI;Rigetti Computing Inc.;NASDAQ;US76655K1034;Quantum-Computing;Technology
BIT:BPE;BPER Banca S.p.A.;BIT;IT0000066123;Banking;Financials
BIT:BAMI;Banco BPM S.p.A.;BIT;IT0005218380;Banking;Financials
EPA:STMPA;STMicroelectronics NV;EPA;NL0000226223;Semiconductors;Information Technology
BIT:PRY;Prysmian SpA;BIT;IT0004176001;Electrical Equipment;Industrials
NASDAQ:MSFT;Microsoft Corp;NASDAQ;US5949181045;Software;Information Technology
NYSE:AI;C3.ai Inc;NYSE;US12468P1049;Software;Information Technology
STOXX:SX7E;EURO STOXX Banks Index;STOXX;N/A;Banking;Financials
INDEXSP:.INX;S&P 500 Index;CBOE;N/A;N/A;N/A
NVDA:NASDAQ;Nasdaq 100 Index;NASDAQ;N/A;N/A;N/A
SX5E;Euro Stoxx 50;N/A;EU0009658145;Indices;Finance
FTSEMIB;FTSE MIB;N/A;GB00BNNLHW18;Indices;Finance
NKY;Nikkei 225;N/A;JP9010C00002;Indices;Finance
KOSPI2;KOSPI 200 Index;N/A;KRD020020008;Indices;Finance
FRA:CBK;Commerzbank AG;XETRA (Frankfurt Stock Exchange);DE000CBK1001;Banks;Financials
BIT:ISP;Intesa Sanpaolo;Borsa Italiana S.p.A;IT0000072618;Banks;Financials
BME:BBVA;Banco Bilbao Vizcaya Argentaria (BBVA);BME;ES0113211835;Banks;Financials
NASDAQ:INTC;Intel;NASDAQ;N/A;N/A;N/A
NASDAQ:AVGO;Broadcom;NASDAQ;N/A;N/A;N/A
NASDAQ:AMD;Advanced Micro Devices;NASDAQ;N/A;N/A;N/A
NYSE:GS;Goldman Sachs;NYSE;N/A;N/A;N/A
BME:SAN;Banco Santander;BME;N/A;N/A;N/A
NYSE:MS;Morgan Stanley;NYSE;N/A;N/A;N/A
NYSE:BA;Boeing;NYSE;N/A;N/A;N/A
ETR:RHM;Rheinmetall;ETR;N/A;N/A;N/A
EPA:HO;Thales;EPA;N/A;N/A;N/A
MBG;Mercedes-Benz Group AG;XETRA;DE0007100000;Automotive;Automotive
PLTR:NYSE;Ford Motor Co;NYSE;US3453708600;Automotive;Automotive
