stock_google_finance_ticker;stock_name;stock_exchange;stock_isin;stock_industry;stock_sector
AAPL;Apple Inc;NASDAQ;US0378331005;Consumer Electronics;Technology
AMZN;Amazon.com Inc;NASDAQ;US0231351067;E-Commerce and Cloud;Consumer Discretionary
GOOGL;Alphabet Inc;NASDAQ;US02079K3059;Internet and Media;Communication Services
SPCX;Space Exploration Technologies Corp;NASDAQ;US84615Q1031;Aerospace and Defense;Industrials
LDO.MI;Leonardo S.p.A.;BIT;IT0003856405;Aerospace and Defense;Industrials
RKLB;Rocket Lab USA, Inc.;Nasdaq;US7731211089;Aerospace and Defense;Industrials
STMPA.PA;STMicroelectronics N.V.;EPA;NL0000226223;Semiconductors;Technology
STMMI.MI;STMicroelectronics N.V.;BIT;NL0000226223;Semiconductors;Technology
IFX.DE;Infineon Technologies AG;XETRA;DE0006231004;Semiconductors;Technology
CBK.DE;Commerzbank AG;XETRA;DE000CBK1001;Banking;Financials
IONQ;IonQ Inc;NYSE;US46222L1089;Quantum-Computing;Technology
DBK.DE;Deutsche Bank AG;Xetra;DE0005140008;Banks;Financials
BMPS.MI;Banca Monte dei Paschi di Siena S.p.A.;BIT;IT0005218752;Banks;Financials
STLAM.MI;Stellantis N.V.;BIT;NL00150001Q9;Auto Manufacturers;Consumer Cyclical
QBTS;D-Wave Quantum Inc.;NYSE;US26740W1099;Quantum-Computing;Technology
RGTI;Rigetti Computing Inc.;NASDAQ;US76655K1034;Quantum-Computing;Technology
BPE.MI;BPER Banca S.p.A.;BIT;IT0000066123;Banking;Financials
BAMI.MI;Banco BPM S.p.A.;BIT;IT0005218380;Banking;Financials
STMPAPA.PA;STMicroelectronics NV;EPA;NL0000226223;Semiconductors;Information Technology
PRY.MI;Prysmian SpA;BIT;IT0004176001;Electrical Equipment;Industrials
MSFT;Microsoft Corp;NASDAQ;US5949181045;Software;Information Technology
AI;C3.ai Inc;NYSE;US12468P1049;Software;Information Technology
^SX7E;EURO STOXX Banks Index;STOXX;N/A;Banking;Financials
^.INX;S&P 500 Index;CBOE;N/A;N/A;N/A
^NASDAQ;Nasdaq 100 Index;NASDAQ;N/A;N/A;N/A
SX5E;Euro Stoxx 50;N/A;EU0009658145;Indices;Finance
FTSEMIB;FTSE MIB;N/A;GB00BNNLHW18;Indices;Finance
NKY;Nikkei 225;N/A;JP9010C00002;Indices;Finance
^KOSPI2;KOSPI 200 Index;N/A;KRD020020008;Indices;Finance
CBK.DE;Commerzbank AG;XETRA;DE000CBK1001;Banks;Financials
ISP.MI;Intesa Sanpaolo;Borsa;IT0000072618;Banks;Financials
BBVA.MC;Banco Bilbao Vizcaya Argentaria (BBVA);BME;ES0113211835;Banks;Financials
INTC;Intel;NASDAQ;N/A;N/A;N/A
AVGO;Broadcom;NASDAQ;N/A;N/A;N/A
AMD;Advanced Micro Devices;NASDAQ;N/A;N/A;N/A
GS;Goldman Sachs;NYSE;N/A;N/A;N/A
SAN.MC;Banco Santander;BME;N/A;N/A;N/A
MS;Morgan Stanley;NYSE;N/A;N/A;N/A
BA;Boeing;NYSE;N/A;N/A;N/A
RHM.DE;Rheinmetall;ETR;N/A;N/A;N/A
HOPA.PA;Thales;EPA;N/A;N/A;N/A
MBG.DE;Mercedes-Benz Group AG;XETRA;DE0007100000;Automotive;Automotive
NYSE;Ford Motor Co;NYSE;US3453708600;Automotive;Automotive
TSLA;Tesla Inc;NASDAQ;US88160R1014;Automotive;Automotive
AU;Anglogold Ashanti ADR;NYSE;GB00BRXH2664;Gold Mining;Basic Materials
META;Meta Platforms Inc;NASDAQ;US30303M1027;Social Media;Communication Services
RACE.MI;FERRARI NV;BIT;NL0011585146;Auto Manufacturers;Consumer Cyclical
RMSPA.PA;HERMES INTERNATIONAL;EPA;FR0000052292;Luxury Goods;Consumer Cyclical
KERPA.PA;KERING;EPA;FR0000121485;Luxury Goods;Consumer Cyclical
ZAL.DE;Zalando SE;XETRA;DE000ZAL1F18;Internet Retail;Consumer Cyclical
DHER.DE;Delivery Hero SE;XETRA;DE000A2E4K43;Restaurants;Consumer Cyclical
MONC.MI;Moncler;BIT;IT0004965148;Luxury Goods;Consumer Cyclical
RCL;Royal Caribbean Cruises Ltd;NYSE;LR0008862868;Travel and Leisure;Consumer Cyclical
BRBY;Burberry Group PLC;LSE;GB0031743007;Luxury Goods;Consumer Cyclical
CL;Colgate-Palmolive;NYSE;US1941621039;Household and Personal Products;Consumer Defensive
HFG.DE;HelloFresh SE;XETRA;DE000A161408;Food and Beverage;Consumer Defensive
NASDAQ;Amazon;NASDAQ;US0231351067;E-commerce;Consumer Discretionary
CPR.MI;DAVIDE CAMPARI-MILANO NV;BIT;NL0015435975;Beverages;Consumer Goods
FXI;iShares China Large-Cap ETF;Not;Not Specified;Financial Services;ETFs
ENI.MI;Eni;BIT;IT0003132636;Oil and Gas;Energy
TTE.PA;TotalEnergies;EPA;FR0000120271;Oil and Gas Integrated;Energy
CVX;Chevron;NYSE;US1667641005;Oil and Gas Integrated;Energy
OXY;Occidental Petroleum;NYSE;US6745991058;Oil and Gas Exploration and Production;Energy
SRG.MI;Snam SpA;BIT;IT0003153415;Gas Utilities;Energy
REP.MC;Repsol;BME;ES0173516115;Integrated Oil and Gas;Energy
BP;British Petroleum;LSE;GB00BN7L1Y91;Integrated Oil and Gas;Energy
TTEPA.PA;TotalEnergies;EPA;FR0000120271;Integrated Oil and Gas;Energy
EQNR;Equinor ASA;Oslo;NO0010096985;Oil and Gas;Energy
^SOLDE10E;Solactive Constant Maturity BUND 10Y Yield Index;N/A;N/A;Government Bonds;Finance
SLV;iShares Silver Trust;NYSE;US46428Q1094;Commodities;Financial
GLD;SPDR Gold Shares;NYSE;US78463V1070;Commodities;Financial
BARC;Barclays PLC;LSE;GB0031348658;Banking;Financial
GLEPA.PA;Société Générale;EPA;FR0000130809;Banking;Financial
UNI.MI;Unipol Assicurazioni SpA;BIT;IT0004810054;Insurance;Financial
SREN;Swiss Re AG;SIX;CH0126881561;Insurance;Financial
SCRPA.PA;SCOR SE;EPA;FR0010411983;Insurance;Financial
EWY;iShares MSCI South Korea ETF;NYSE;US4642867765;ETF;Financial
MCHI;iShares MSCI China ETF;NASDAQ;US4642866858;ETF;Financial
^SOITA10Y;Solactive BTP 10 Annual Comp. Yield Index;Solactive;N/A;Indices;Financial
SOLEU10E;Solactive Constant Maturity EU NXG 10Y;N/A;N/A;Indices;Financial
UCG.MI;Unicredit;BIT;IT0005239367;Banks;Financial Services
AGN;AEGON LTD;Amsterdam;BMG0112X1056;Insurance;Financial Services
ALV;ALLIANZ SE-REG;Xetra;DE0008404005;Insurance;Financial Services
RBI;Raiffeisen Bank;Vienna;AT0000606306;Banks-Regional;Financial Services
BNPPA.PA;BNP Paribas;EPA;FR0000131104;Banks-Diversified;Financial Services
MIL.MI;Banca MPS;BIT;IT0005336171;Banks;Financial Services
CABK.MC;CaixaBank S.A.;BME;ES0118620317;Banks-Diversified;Financial Services
CSPA.PA;AXA SA;EPA;FR0000120628;Insurance;Financials
ZURN;Zurich Insurance Group;SIX;CH0011075394;Insurance;Financials
NEXI.MI;NEXI;BIT;IT0005366767;Financial Services;Financials
FBK.MI;Fineco;BIT;IT0000072170;Banks;Financials
PST.MI;Poste Italiane S.p.A.;BIT;IT0003794171;Diversified Financial Services;Financials
G.MI;Generali;BIT;IT0000062072;Multi-line Insurance;Financials
AZM.MI;Azimut Holding SpA;BIT;IT0003261697;Asset Management;Financials
BGN.MI;Banca Generali SpA;BIT;IT0001031084;Banking;Financials
SXIE;ESTX Insurance (EUR) Pr;STOXX;EU0009658442;Insurance;Financials
^STOXX;EURO STOXX® Banks Index;STOXX;EU0009658426;Banking;Financials
IT0005441883.MI;2.15% BTPS Italia (03/01/72);BIT;IT0005441883;Government Bonds;Government
FR0014001NN8;0.5% France Govt (05/25/2072);Euronext;FR0014001NN8;Sovereign Debt;Government
MOT;BTP TF 0,95% GN32 EUR;MOT;IT0005405318;Sovereign Debt;Government
Euronext;Banque de France TEC 10 CNO Constant 10 Year Maturity Treasury Benchmark;Euronext;N/A;Sovereign Bonds;Government
BAYN;BAYER AG-REG;Xetra;DE000BAY0017;Pharmaceuticals;Healthcare
PFE;PFIZER INC-REG;NYSE;US7170811035;Pharmaceuticals;Healthcare
MRNA;Moderna Inc;NASDAQ;US60770K1079;Biotechnology;Healthcare
