isin,name,ask,bid,currency,dt
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,102.31,0.00,EUR,2026-03-25-10-03-17
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,100.22,0.00,EUR,2026-03-25-10-03-17
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,103.12,0.00,EUR,2026-03-25-10-03-17
NLBNPIT300H4,Stellantis,79.31,0.00,EUR,2026-03-25-10-03-17
NLBNPIT300T9,Tesla,96.36,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30150,Coherent Leonardo Thales Premi Fissi Cash Collect Callable,99.01,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,98.29,0.00,EUR,2026-03-25-10-03-17
NLBNPIT303A3,Nvidia Intel Tesla Meta,100.05,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales,97.14,0.00,EUR,2026-03-25-10-03-17
NLBNPIT302W9,Intesa Sanpaolo Unicredit,101.71,0.00,EUR,2026-03-25-10-03-17
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect,93.00,0.00,EUR,2026-03-25-10-03-17
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,75.25,0.00,EUR,2026-03-25-10-03-17
NLBNPIT2QDD3,Amazon Dell Fortinet Oracle,78.30,0.00,EUR,2026-03-25-10-03-17
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,50.85,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30341,Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect,100.36,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30358,A2A Engie Veolia E.on,100.33,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,95.16,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,102.96,0.00,EUR,2026-03-25-10-03-17
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,97.68,0.00,EUR,2026-03-25-10-03-17
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,102.22,0.00,EUR,2026-03-25-10-03-17
