isin,name,ask,bid,currency,dt
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,95.78,0.00,EUR,2026-05-15-11-01-06
NLBNPIT2QDD3,Amazon Dell Fortinet Oracle,89.65,0.00,EUR,2026-05-15-11-01-06
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,71.35,0.00,EUR,2026-05-15-11-01-06
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,106.54,0.00,EUR,2026-05-15-11-01-06
NLBNPIT300U7,Palantir Technologies Step-Down Cash Collect,92.51,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303I6,Allianz Assicurazioni Generali Intesa Sanpaolo Unicredit,99.86,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303O4,Banca MPS Siemens Energy Stellantis STMicroelectronics,101.53,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303A3,Nvidia Intel Tesla Meta,111.61,0.00,EUR,2026-05-15-11-01-06
NLBNPIT21TB7,Step-Down Cash Collect Kla Corp C3.AI Uipath,50.63,0.00,EUR,2026-05-15-11-01-06
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley,105.24,0.00,EUR,2026-05-15-11-01-06
NLBNPIT302Y5,Banca MPS Banco BPM Bper Banca Unicredit Protection Booster Cash Collect,110.19,0.00,EUR,2026-05-15-11-01-06
NLBNPIT2SP93,AMD Google Amazon Meta Premi Fissi Cash Collect 11% 03-06,98.70,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303P1,BP PLC TotalEnergies Equinor Repsol,100.82,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303G0,Banca MPS Banco BPM Bper Unicredit,100.56,0.00,EUR,2026-05-15-11-01-06
NLBNPIT2XBR3,BPM Kering Moncler STM Premi Fissi Cash Collect 15% 11-06,95.63,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303N6,Coherent Leonardo Rheinmetall,98.70,0.00,EUR,2026-05-15-11-01-06
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect 14% 13-05,92.13,0.00,EUR,2026-05-15-11-01-06
NLBNPIT300H4,Stellantis,83.21,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303C9,Unicredit Intesa Sanpaolo Banco BPM,100.29,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303S5,AMD Dell Meta,104.27,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303E5,Banca MPS Santander,99.57,0.00,EUR,2026-05-15-11-01-06
NLBNPIT30358,A2A Engie Veolia E.on,102.25,0.00,EUR,2026-05-15-11-01-06
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,91.62,0.00,EUR,2026-05-15-11-01-06
NLBNPIT2EPV5,Amazon Meta MSFT Nvidia Premi Fissi Cash Collect 11% 13-05,97.95,0.00,EUR,2026-05-15-11-01-06
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,105.43,0.00,EUR,2026-05-15-11-01-06
NLBNPIT21T57,Mercedes Ford Tesla Step-Down Cash Collect,96.22,0.00,EUR,2026-05-15-11-01-06
NLBNPIT30382,BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect,94.67,0.00,EUR,2026-05-15-11-01-06
NLBNPIT300T9,Tesla Step-Down Cash Collect,99.72,0.00,EUR,2026-05-15-11-01-06
NLBNPIT30309,Banca MPS BBVA Caixabank Societe Generale Protection Booster Cash Collect,107.83,0.00,EUR,2026-05-15-11-01-06
NLBNPIT303D7,Bper Intesa Sanpaolo,99.25,0.00,EUR,2026-05-15-11-01-06
