isin;name;ask;bid;currency;dt
NLBNPIT303N6;Coherent Leonardo Rheinmetall,89.08,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30325,Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect,99.85,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304G8,Banca Generali | Unicredit | Banca MPS | Bper - Coupon: 1.27% (15.24% p.a.) - Barrier: 60%,103.92,0.00,EUR,2026-06-30-12-08-42
NLBNPIT2XBR3,BPM Kering Moncler STM Premi Fissi Cash Collect 15% 11-06,97.05,0.00,EUR,2026-06-30-12-08-42
NLBNPIT30333,Enel Leonardo Moncler Snam Protection Booster Cash Collect,90.94,0.00,EUR,2026-06-30-12-08-42
NLBNPIT2T027,Palantir Tesla Nvidia Booster Cash Collect,91.65,0.00,EUR,2026-06-30-12-08-42
NLBNPIT2TQK4,Boeing Dassault Leonardo Rheinmetall Premi Fissi Cash Collect,60.11,0.00,EUR,2026-06-30-12-08-42
NLBNPIT300C5,BANCA MONTE DEI PASCHI DI SIENA Step-Down Cash Collect,103.25,0.00,EUR,2026-06-30-12-08-42
NLBNPIT2HHH4,ERG Ferrari Leonardo Moncler Premi Fissi Cash Collect 14% 13-05,94.54,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304M6,Rheinmetall | Fincantieri | Boeing - Coupon: 1.25% (15% p.a.) - Barrier: 55%,94.58,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304P9,Enel | Siemens Energy | Endesa - Coupon: 1.10% (13.20% p.a.) - Barrier: 50%,100.41,0.00,EUR,2026-06-30-12-08-42
NLBNPIT304S3,Bayer | Eli Lilly | Merck & co - Coupon: 1.15% (13.80% p.a.) - Barrier: 55%,106.02,0.00,EUR,2026-06-30-12-08-42
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo,108.46,0.00,EUR,2026-06-30-12-08-42
NLBNPIT300H4,Stellantis,65.98,0.00,EUR,2026-06-30-12-08-42
