isin;name;ask;bid;currency;dt
NLBNPIT30549;Certificato NLBNPIT30549 - Coupon: -% (-% p.a.) - Barrier: -%;99.37;0.00;EUR;2026-07-02-11-47-59
NLBNPIT304G8;Certificato NLBNPIT304G8 - Coupon: -% (-% p.a.) - Barrier: -%;104.75;0.00;EUR;2026-07-02-11-47-59
NLBNPIT305V4;EchoStar Intuitive Machines Planet Labs - Enjoy Cash Collect - Coupon: 2.05% (-% p.a.) - Barrier: 30%;101.92;0.00;EUR;2026-07-02-11-47-59
NLBNPIT305D2;Infineon Intel Micron - Low Barrier Cash Collect - Coupon: 2.15% (-% p.a.) - Barrier: 30%;96.03;0.00;EUR;2026-07-02-11-47-59
NLBNPIT304Q7;Alphabet | Microsoft | C3.AI - Coupon: 1.6% (19.80% p.a.) - Barrier: 45%;99.45;0.00;EUR;2026-07-02-11-47-59
NLBNPIT305H3;Certificato NLBNPIT305H3 - Coupon: -% (-% p.a.) - Barrier: -%;99.47;0.00;EUR;2026-07-02-11-47-59
NLBNPIT305I1;Certificato NLBNPIT305I1 - Coupon: -% (-% p.a.) - Barrier: -%;99.86;0.00;EUR;2026-07-02-11-47-59
NLBNPIT305C4;Certificato NLBNPIT305C4 - Coupon: -% (-% p.a.) - Barrier: -%;97.90;0.00;EUR;2026-07-02-11-47-59
NLBNPIT303Y3;Certificato NLBNPIT303Y3 - Coupon: -% (-% p.a.) - Barrier: -%;82.21;0.00;EUR;2026-07-02-11-47-59
NLBNPIT303N6;Certificato NLBNPIT303N6 - Coupon: -% (-% p.a.) - Barrier: -%;91.09;0.00;EUR;2026-07-02-11-47-59
NLBNPIT305Z5;Certificato NLBNPIT305Z5 - Coupon: -% (-% p.a.) - Barrier: -%;1.00000;0.00;EUR;2026-07-02-11-47-59
NLBNPIT304V7;Certificato NLBNPIT304V7 - Coupon: -% (-% p.a.) - Barrier: -%;101.77;0.00;EUR;2026-07-02-11-47-59
NLBNPIT300H4;Stellantis - Coupon: 0.90% (10.80% p.a.) - Barrier: 60%;68.42;0.00;EUR;2026-07-02-11-47-59
NLBNPIT303W7;Certificato NLBNPIT303W7 - Coupon: -% (-% p.a.) - Barrier: -%;87.66;0.00;EUR;2026-07-02-11-47-59
