isin;name;ask_old;ask_new;diff_percent;flag
NLBNPIT303I6;Certificato NLBNPIT303I6 - Coupon: -% (-% p.a.) - Barrier: -%;102.8;103.37;0.55%;+
NLBNPIT303O4;Certificato NLBNPIT303O4 - Coupon: -% (-% p.a.) - Barrier: -%;98.69;98.26;-0.44%;-
NLBNPIT303F2;Certificato NLBNPIT303F2 - Coupon: -% (-% p.a.) - Barrier: -%;103.3;103.71;0.40%;+
NLBNPIT2XBR3;Certificato NLBNPIT2XBR3 - Coupon: -% (-% p.a.) - Barrier: -%;96.51;96.89;0.39%;+
NLBNPIT303D7;Certificato NLBNPIT303D7 - Coupon: -% (-% p.a.) - Barrier: -%;101.15;101.23;0.08%;+
NLBNPIT304J2;Enel | Poste Italiane | Leonardo - Coupon: 0.98% (11.76% p.a.) - Barrier: 60%;100.91;101.72;0.80%;+
NLBNPIT304K0;Certificato NLBNPIT304K0 - Coupon: -% (-% p.a.) - Barrier: -%;98.15;97.78;-0.38%;-
NLBNPIT304D5;Certificato NLBNPIT304D5 - Coupon: -% (-% p.a.) - Barrier: -%;102.49;102.95;0.45%;+
NLBNPIT303V9;Certificato NLBNPIT303V9 - Coupon: -% (-% p.a.) - Barrier: -%;83.75;84.35;0.72%;+
NLBNPIT305H3;Certificato NLBNPIT305H3 - Coupon: -% (-% p.a.) - Barrier: -%;98.37;99.21;0.85%;+
NLBNPIT302V1;Certificato NLBNPIT302V1 - Coupon: -% (-% p.a.) - Barrier: -%;108.54;108.75;0.19%;+
NLBNPIT304S3;Bayer | Eli Lilly | Merck & co - Coupon: 1.15% (13.80% p.a.) - Barrier: 55%;106.1;106.49;0.37%;+
NLBNPIT304Z8;EURO STOXX 50®, FTSE MIB Index, Kospi 200, Nikkei 225 - Coupon: -% (-% p.a.) - Barrier: -%;100;98.28;-1.72%;-
NLBNPIT304W5;Certificato NLBNPIT304W5 - Coupon: -% (-% p.a.) - Barrier: -%;102.63;102.08;-0.54%;-
NLBNPIT302Y5;Banca Monte dei Paschi di Siena | Banco BPM | BPER Banca | Unicredit - Coupon: 15.60% p.a. - Barrier: 45.60%;111.63;111.87;0.21%;+
NLBNPIT30374;Certificato NLBNPIT30374 - Coupon: -% (-% p.a.) - Barrier: -%;85.52;86.95;1.67%;+
NLBNPIT304N4;Certificato NLBNPIT304N4 - Coupon: -% (-% p.a.) - Barrier: -%;98.21;97.47;-0.75%;-
NLBNPIT30150;Certificato NLBNPIT30150 - Coupon: -% (-% p.a.) - Barrier: -%;95.82;95.09;-0.76%;-
NLBNPIT2HHH4;ERG | Ferrari | Leonardo | Moncler - Coupon: 1.20% (14.00% p.a.) - Barrier: 55%;95.11;95.73;0.65%;+
NLBNPIT304Q7;Alphabet | Microsoft | C3.AI - Coupon: 1.6% (19.80% p.a.) - Barrier: 45%;98.26;99.48;1.24%;+
NLBNPIT305R2;Certificato NLBNPIT305R2 - Coupon: -% (-% p.a.) - Barrier: -%;98.82;99.15;0.33%;+
NLBNPIT305V4;Certificato NLBNPIT305V4 - Coupon: -% (-% p.a.) - Barrier: -%;103.62;101.79;-1.77%;-
NLBNPIT303W7;Certificato NLBNPIT303W7 - Coupon: -% (-% p.a.) - Barrier: -%;86.76;87.41;0.75%;+
NLBNPIT30341;Certificato NLBNPIT30341 - Coupon: -% (-% p.a.) - Barrier: -%;107.85;108.17;0.30%;+
NLBNPIT21T57;Certificato NLBNPIT21T57 - Coupon: -% (-% p.a.) - Barrier: -%;90.59;91.6;1.11%;+
NLBNPIT300H4;Stellantis - Coupon: 0.90% (10.80% p.a.) - Barrier: 60%;68.08;69.14;1.56%;+
NLBNPIT303G0;Certificato NLBNPIT303G0 - Coupon: -% (-% p.a.) - Barrier: -%;101.75;102.18;0.42%;+
NLBNPIT30549;Certificato NLBNPIT30549 - Coupon: -% (-% p.a.) - Barrier: -%;99.28;98.93;-0.35%;-
NLBNPIT300T9;Tesla - Coupon: 1.12% (13.44% p.a.) - Barrier: 60%;98.49;99.06;0.58%;+
NLBNPIT303Y3;Certificato NLBNPIT303Y3 - Coupon: -% (-% p.a.) - Barrier: -%;81.33;81.96;0.77%;+
NLBNPIT305N1;Certificato NLBNPIT305N1 - Coupon: -% (-% p.a.) - Barrier: -%;99.39;101.43;2.05%;+
NLBNPIT2SP93;Certificato NLBNPIT2SP93 - Coupon: -% (-% p.a.) - Barrier: -%;95.99;98.16;2.26%;+
NLBNPIT30358;Certificato NLBNPIT30358 - Coupon: -% (-% p.a.) - Barrier: -%;105.07;105.47;0.38%;+
NLBNPIT305C4;Certificato NLBNPIT305C4 - Coupon: -% (-% p.a.) - Barrier: -%;98.84;98.03;-0.82%;-
NLBNPIT2TQK4;Certificato NLBNPIT2TQK4 - Coupon: -% (-% p.a.) - Barrier: -%;61.92;63.49;2.54%;+
NLBNPIT304L8;Certificato NLBNPIT304L8 - Coupon: -% (-% p.a.) - Barrier: -%;98.71;98.82;0.11%;+
NLBNPIT303S5;Certificato NLBNPIT303S5 - Coupon: -% (-% p.a.) - Barrier: -%;103.2;103.9;0.68%;+
NLBNPIT2T027;Nvidia | Palantir Technologies | Tesla - Coupon: 1.35% (16.20% p.a.) - Barrier: 45%;92.55;94.14;1.72%;+
NLBNPIT303N6;Certificato NLBNPIT303N6 - Coupon: -% (-% p.a.) - Barrier: -%;90.33;89.15;-1.31%;-
NLBNPIT302Z2;Certificato NLBNPIT302Z2 - Coupon: -% (-% p.a.) - Barrier: -%;105.89;106.1;0.20%;+
NLBNPIT304G8;Certificato NLBNPIT304G8 - Coupon: -% (-% p.a.) - Barrier: -%;104.1;104.63;0.51%;+
NLBNPIT303E5;Certificato NLBNPIT303E5 - Coupon: -% (-% p.a.) - Barrier: -%;103.84;103.93;0.09%;+
NLBNPIT300C5;Certificato NLBNPIT300C5 - Coupon: -% (-% p.a.) - Barrier: -%;103.33;103.38;0.05%;+
NLBNPIT300U7;Certificato NLBNPIT300U7 - Coupon: -% (-% p.a.) - Barrier: -%;86.53;88.93;2.77%;+
NLBNPIT30382;Certificato NLBNPIT30382 - Coupon: -% (-% p.a.) - Barrier: -%;87.57;87.36;-0.24%;-
NLBNPIT304X3;Certificato NLBNPIT304X3 - Coupon: -% (-% p.a.) - Barrier: -%;101.43;101.49;0.06%;+
NLBNPIT305S0;Certificato NLBNPIT305S0 - Coupon: -% (-% p.a.) - Barrier: -%;98.09;95.72;-2.42%;-
NLBNPIT304E3;Certificato NLBNPIT304E3 - Coupon: -% (-% p.a.) - Barrier: -%;101.3;101.85;0.54%;+
NLBNPIT304P9;Certificato NLBNPIT304P9 - Coupon: -% (-% p.a.) - Barrier: -%;100.53;99.42;-1.10%;-
NLBNPIT304V7;Certificato NLBNPIT304V7 - Coupon: -% (-% p.a.) - Barrier: -%;101.74;101.73;-0.01%;-
NLBNPIT303A3;Certificato NLBNPIT303A3 - Coupon: -% (-% p.a.) - Barrier: -%;111.31;112.07;0.68%;+
NLBNPIT30507;Certificato NLBNPIT30507 - Coupon: -% (-% p.a.) - Barrier: -%;96.84;96.55;-0.30%;-
NLBNPIT304M6;Certificato NLBNPIT304M6 - Coupon: -% (-% p.a.) - Barrier: -%;96.23;97.49;1.31%;+
NLBNPIT302W9;Certificato NLBNPIT302W9 - Coupon: -% (-% p.a.) - Barrier: -%;104.6;104.62;0.02%;+
NLBNPIT2EPV5;Certificato NLBNPIT2EPV5 - Coupon: -% (-% p.a.) - Barrier: -%;93.55;96.16;2.79%;+
NLBNPIT305D2;Infineon Intel Micron - Low Barrier Cash Collect - Coupon: 2.15% (-% p.a.) - Barrier: 30%;99.03;95.83;-3.23%;-
NLBNPIT30614;Certificato NLBNPIT30614 - Coupon: -% (-% p.a.) - Barrier: -%;1;1;0.00%;+
NLBNPIT305Z5;Certificato NLBNPIT305Z5 - Coupon: -% (-% p.a.) - Barrier: -%;1;1;0.00%;+
NLBNPIT30309;Banca Monte dei Paschi di Siena | BBVA | CaixaBank | Société Générale - Coupon: 12.60% p.a. - Barrier: 50.51%;110.95;111.13;0.16%;+
NLBNPIT30622;Certificato NLBNPIT30622 - Coupon: -% (-% p.a.) - Barrier: -%;1;1;0.00%;+
NLBNPIT30325;Certificato NLBNPIT30325 - Coupon: -% (-% p.a.) - Barrier: -%;99.31;98.94;-0.37%;-
NLBNPIT304Y1;Certificato NLBNPIT304Y1 - Coupon: -% (-% p.a.) - Barrier: -%;102.35;102.49;0.14%;+
NLBNPIT303C9;Certificato NLBNPIT303C9 - Coupon: -% (-% p.a.) - Barrier: -%;103.06;103.61;0.53%;+
NLBNPIT305X0;Certificato NLBNPIT305X0 - Coupon: -% (-% p.a.) - Barrier: -%;1;1;0.00%;+
NLBNPIT305E0;Certificato NLBNPIT305E0 - Coupon: -% (-% p.a.) - Barrier: -%;99.7;100.42;0.72%;+
NLBNPIT305L5;Certificato NLBNPIT305L5 - Coupon: -% (-% p.a.) - Barrier: -%;100.47;101.01;0.54%;+
NLBNPIT30333;Certificato NLBNPIT30333 - Coupon: -% (-% p.a.) - Barrier: -%;91.96;93.25;1.40%;+
NLBNPIT305I1;Certificato NLBNPIT305I1 - Coupon: -% (-% p.a.) - Barrier: -%;99.57;99.66;0.09%;+
NLBNPIT303M8;Certificato NLBNPIT303M8 - Coupon: -% (-% p.a.) - Barrier: -%;103.6;103.87;0.26%;+
NLBNPIT21TB7;C3.AI | KLA | UiPath - Coupon: 1.30% (15.60% p.a.) - Barrier: 40%;52.82;55.14;4.39%;+
NLBNPIT303P1;Certificato NLBNPIT303P1 - Coupon: -% (-% p.a.) - Barrier: -%;102.06;101.92;-0.14%;-
