NLBNPIT30325, Eni Generali Poste Italiane Unicredit Protection Booster Cash Collect
NLBNPIT30341, Generali Swiss Re Scor Unipol Assicurazioni Protection Booster Cash Collect
NLBNPIT30382, BP PLC Equinor Repsol TotalEnergies Protection Booster Cash Collect
NLBNPIT302V1,Unicredit Bper Intesa Sanpaolo
NLBNPIT302W9,Intesa Sanpaolo Unicredit
NLBNPIT302Z2,Intesa Sanpaolo Santander The Goldman Sachs Morgan Stanley
NLBNPIT30374,Boeing Rheinmetall Leonardo Thales
NLBNPIT30358,A2A Engie Veolia E.on
NLBNPIT303A3,Nvidia Intel Tesla Meta
NLBNPIT30150, Coherent Leonardo Thales Premi Fissi Cash Collect Callable
