ISIN;Issuer;Ask;Bid;Growth_1D;Growth_3Ds;Growth_1W;Growth_2W;Growth_4W;Growth_1D_Pct;Growth_3Ds_Pct;Growth_1W_Pct;Growth_2W_Pct;Growth_4W_Pct;Last_Update_DT;coupon;ex_date
CH1525091620;leonteq;1023.4;1013.4;0.99;7.25;-0.1;-1.85;N/A;0.1;0.72;-0.01;-0.18;N/A;2026-05-21 15:00:36;TBD;TBD
it0006768870;marex;1086.44;1076.44;9.93;N/A;N/A;N/A;N/A;0.93;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
NLBNPIT302V1;bnp;106.53;105.53;-0.15;0.12;-0.63;-0.5;1.41;-0.14;0.11;-0.59;-0.47;1.35;2026-05-21 15:43:36;TBD;TBD
CH1550421346;leonteq;998.72;988.72;-0.36;1.29;-22.47;-54.94;N/A;-0.04;0.13;-2.22;-5.26;N/A;2026-05-21 15:00:36;TBD;TBD
CH1550424985;leonteq;990.47;980.47;-0.04;1.93;-3.08;-3.26;N/A;-0;0.2;-0.31;-0.33;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT30333;bnp;93.75;92.75;0.39;1.97;2.03;-1.71;-2.1;0.42;2.17;2.24;-1.81;-2.21;2026-05-21 15:43:36;TBD;TBD
IT0006775891;marex;980;979.3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2026-05-21 15:00:36;TBD;TBD
CH1525083577;leonteq;716.92;706.92;1.01;-7.2;-10.42;2.08;N/A;0.14;-1.01;-1.45;0.3;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT300T9;bnp;99.69;98.69;1.17;0.91;-0.64;0.81;3.41;1.2;0.93;-0.64;0.83;3.58;2026-05-21 15:43:36;TBD;TBD
NLBNPIT302W9;bnp;106.11;105.11;-0.08;0.04;-0.09;0.07;2.01;-0.08;0.04;-0.09;0.07;1.95;2026-05-21 15:43:36;TBD;TBD
DE000VK6PMC6;vontobel;836;835;9;-10;8;-63;-12;1.09;-1.18;0.97;-7.02;-1.42;2026-05-21 15:43:39;TBD;TBD
NLBNPIT303C9;bnp;100.81;99.81;0.13;0.1;-0.29;0.14;3.03;0.13;0.1;-0.29;0.14;3.13;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304M6;bnp;100.64;99.64;0.22;0.64;N/A;N/A;N/A;0.22;0.65;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
IT0006772146;marex;9846.15;9836.15;48.7;N/A;N/A;N/A;N/A;0.5;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
IT0006772351;marex;988.97;978.97;4.53;8.75;23.38;16.56;N/A;0.46;0.9;2.45;1.72;N/A;2026-05-21 15:43:50;TBD;TBD
NLBNPIT30325;bnp;106.22;105.22;-0.03;0.03;0.87;3.87;4.05;-0.03;0.03;0.83;3.82;4;2026-05-21 15:43:36;TBD;TBD
NLBNPIT2SP93;bnp;98.67;97.67;0.19;-0.02;-0.41;N/A;N/A;0.19;-0.02;-0.42;N/A;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT303F2;bnp;100.33;99.33;0.13;-0.66;-0.49;0.67;2.24;0.13;-0.66;-0.49;0.68;2.31;2026-05-21 15:43:36;TBD;TBD
DE000VG656A7;vontobel;1026;996;-8;-14;-1;-4;N/A;-0.8;-1.39;-0.1;-0.4;N/A;2026-04-03 15:05:36;TBD;TBD
NLBNPIT21TB7;bnp;53.44;52.44;1.42;3.73;1.15;-3.9;-2.17;2.78;7.66;2.24;-6.92;-3.97;2026-05-21 15:43:36;TBD;TBD
NLBNPIT30341;bnp;105.57;104.57;-1.14;-0.9;1.17;0.25;0.81;-1.08;-0.85;1.13;0.24;0.78;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304D5;bnp;100.35;99.35;0.18;0.35;N/A;N/A;N/A;0.18;0.35;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
CH1550424670;leonteq;1020.33;1010.33;-2.12;-5.72;-3.99;2.37;N/A;-0.21;-0.56;-0.39;0.24;N/A;2026-05-21 15:00:36;TBD;TBD
DE000VH68M19;vontobel;62.6;61.6;-3.2;N/A;N/A;N/A;N/A;-4.94;N/A;N/A;N/A;N/A;2026-02-23 16:20:28;TBD;TBD
NLBNPIT303E5;bnp;100.49;99.49;0.49;0.09;0.27;0.52;2.37;0.49;0.09;0.27;0.53;2.44;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303I6;bnp;100.69;99.69;0.11;0.15;-0.06;0.04;2.4;0.11;0.15;-0.06;0.04;2.47;2026-05-21 15:43:36;TBD;TBD
DE000VY2RF52;vontobel;101.91;100.91;-0.59;-0.09;-0.99;-1.59;N/A;-0.58;-0.09;-0.97;-1.55;N/A;2026-05-21 15:43:39;TBD;TBD
IT0006755505;marex;1031.48;1021.48;-5.29;N/A;N/A;N/A;N/A;-0.52;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
NLBNPIT304G8;bnp;100.02;99.02;0.04;0.02;N/A;N/A;N/A;0.04;0.02;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
NLBNPIT2TQK4;bnp;73.3;72.3;-0.68;1.75;2.4;-5.4;-6.56;-0.93;2.48;3.43;-6.95;-8.32;2026-05-21 15:43:36;TBD;TBD
CH1550420314;leonteq;1005.42;995.42;0.7;0.76;7.62;6.06;N/A;0.07;0.08;0.77;0.61;N/A;2026-05-21 15:00:36;TBD;TBD
IT0006772153;marex;9962.79;9952.79;47.63;N/A;N/A;N/A;N/A;0.48;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
NLBNPIT300C5;bnp;96.7;95.7;0.09;N/A;N/A;N/A;N/A;0.09;N/A;N/A;N/A;N/A;2026-04-23 11:48:07;TBD;TBD
IT0006755513;marex;1052.97;1042.97;4.22;N/A;N/A;N/A;N/A;0.41;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
NLBNPIT300H4;bnp;78.85;77.85;-2.43;-2.64;-5.41;-2.79;-10.65;-3.03;-3.28;-6.5;-3.46;-12.03;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303M8;bnp;101.01;100.01;0.27;0.32;0.65;1.33;2.06;0.27;0.32;0.65;1.35;2.1;2026-05-21 15:43:36;TBD;TBD
IT0006771148;marex;1018.1;1008.1;0.01;0.3;1.49;3.2;4.3;0;0.03;0.15;0.32;0.43;2026-04-21 17:09:40;TBD;TBD
IT0006772138;marex;9856.01;9846.01;-65.71;N/A;N/A;N/A;N/A;-0.66;N/A;N/A;N/A;N/A;2026-02-10 18:26:37;TBD;TBD
IT0006767823;marex;1007.75;1003.1;0.02;-4.26;-3.39;21.88;22.57;0;-0.42;-0.34;2.23;2.3;2026-04-28 15:00:41;TBD;TBD
IT0006772583;marex;1012.99;1004.64;0.64;3.61;-2.12;24.64;N/A;0.06;0.36;-0.21;2.51;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT2EPV5;bnp;97.08;96.08;0.23;-0.93;-1.27;N/A;N/A;0.24;-0.96;-1.3;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
CH1316652309;leonteq;1019.12;1008.98;-0.32;4.74;5.51;9.42;N/A;-0.03;0.47;0.55;0.94;N/A;2026-05-21 15:00:36;TBD;TBD
DE000VH30021;vontobel;1015;1005;-34;0;39;83;48;-3.27;0;4.04;9;5.02;2026-04-20 15:00:51;TBD;TBD
NLBNPIT303A3;bnp;112.41;111.41;0.59;0.95;0.55;1.41;4.25;0.53;0.86;0.5;1.28;3.97;2026-05-21 15:43:36;TBD;TBD
NLBNPIT2QDD3;bnp;90.01;89.01;2.3;1.45;-0.83;-0.63;3.52;2.65;1.66;-0.92;-0.7;4.12;2026-05-21 15:43:36;TBD;TBD
NLBNPIT303N6;bnp;99.56;98.56;0.53;1.74;0.41;-1.11;-0.36;0.54;1.8;0.42;-1.11;-0.36;2026-05-21 15:43:36;TBD;TBD
NLBNPIT302Z2;bnp;106.19;105.19;0.29;0.72;0.5;-0.09;0.47;0.28;0.69;0.48;-0.09;0.45;2026-05-21 15:43:36;TBD;TBD
DE000VJ6U7J7;vontobel;101.6;100.6;1;2.1;2.1;4.3;N/A;1;2.13;2.13;4.47;N/A;2026-05-15 18:06:59;TBD;TBD
IT0006775347;marex;10059.94;9959.93;101.85;100.99;53.51;-8.03;N/A;1.03;1.02;0.54;-0.08;N/A;2026-05-21 15:00:36;TBD;TBD
NLBNPIT30374;bnp;91.25;90.25;-0.27;2.18;2.29;-6.26;-6.42;-0.3;2.48;2.6;-6.49;-6.64;2026-05-21 15:43:36;TBD;TBD
NLBNPIT304Q7;bnp;100.7;99.7;0.79;0.7;N/A;N/A;N/A;0.8;0.71;N/A;N/A;N/A;2026-05-21 15:43:36;TBD;TBD
