isin;issuer;name;certificate_type_tags;memory_effect;phase;currency;industry;callable;strike_date;issue_date;rembursement_date;autocallable_date;capital_barrier;airbag;risk_level;coupon_amount;coupon_recurrence;coupon_next_ex_date;coupon_type;coupon_barrier;leverage;exchange_risk
CH1525083577;Leonteq Securities AG;Certificato Express in EUR su Banca Monte dei Paschi Siena, Banco BPM, UniCredit (BMPS, BAMI, UCG);Phoenix Autocallable;No;Primary;EUR;Financials;Yes;27.03.2026;01.04.2026;01.04.2030;25.04.2028 - 25.02.2030;60.00%;No;6/7;35.00%;Annual;N/A;Conditional;35.00%;No;Yes
CH1390871320;Leonteq Securities AG;5.30% p.a. Reverse Convertible in EUR on 2.15% BTPS Italia (03/01/72) (IT0005441883);Reverse Convertible;No;Live;EUR;Government Bonds;Yes;29.11.2024;29.11.2024;29.11.2027;Not applicable;64.6465%;No;4;5.30% p.a.;Annual;N/A;Fixed;Not applicable;None;Yes
CH1390871320;Leonteq Securities AG;5.30% p.a. Reverse Convertible in EUR su 2.15% BTPS Italia (03/01/72);Reverse Convertible;No;Issued;EUR;Finance;No;19.11.2024;29.11.2024;29.11.2027;N/A;64.6465%;No;4;EUR 530.00;Annual;N/A;Fixed;64.6465%;None;Yes
IT0006775347;Marex Financial;110m Credit Linked on UniCredit SpA in EUR;Credit Linked, Single Underlying;N/A;Active;EUR;Finance;N/A;24.04.2026;28.04.2026;11.07.2035;N/A;N/A;N/A;N/A;5.65% p.a.;Annual;N/A;Market Recovery;N/A;N/A;No
CH1550421528;Leonteq Securities AG;Express Certificate in EUR on Intel and Micron Technology (INTC, MU);Phoenix Autocallable;Yes;Not applicable;EUR;Not applicable;Yes;23.04.2026;28.04.2026;28.10.2027;21.07.2026;50.00%;Not applicable;6/7;EUR 20.00;Monthly;N/A;Conditional;50.00%;Not applicable;Quanto
CH1550421346;Leonteq Securities AG;Certificato Express in EUR su Intesa Sanpaolo (ISP), Micron Technology (MU), UniCredit (UCG) Phoenix Autocallable;Phoenix Autocallable;Yes;Not applicable;EUR;Not applicable;Yes;27.04.2026;30.04.2026;30.04.2030;25.01.2027;50.00%;No;6;EUR 12.50;Monthly;N/A;Conditional;50.00%;None;Quanto
CH1550422195;Leonteq Securities AG;Phoenix Autocallable Express on A2A, Eni, Ferrari, Intesa Sanpaolo;Phoenix Autocallable, Express;Yes;Live;EUR;Not applicable;Yes;27.04.2026;30.04.2026;30.04.2029;Yes, starting from 23.07.2026;50.00%;No;5/7;EUR 10.00;Monthly;N/A;Conditional;50.00%;No;Yes
IT0006775404;Marex Financial;60m Wof Memory Phoenix Autocall on EURO STOXX 50 Price EUR, S&P 500 INDEX, Nikkei 225, iShares China Large-Cap ETF in EUR;Airbag, Autocallable, Index, Low Strike, Multi Underlying;Yes;Active;EUR;Financial Services;Yes;08.05.2026;04.05.2026;19.05.2031;08.05.2028;60%;Yes;Not Specified;6.50 EUR;Monthly;N/A;Memory Phoenix;60%;None;Yes
CH1550424928;Leonteq Securities AG;Certificato Express in EUR su Banco BPM, Davide Campari-Milano, Enel, Leonardo (BAMI, CPR, ENEL, LDO);Phoenix Autocallable;Yes;Not applicable;EUR;Financial Services;Yes;30.04.2026;06.05.2026;06.05.2030;26.01.2027 to 26.04.2030;60.00%;No;6/7;EUR 10.00;Monthly;N/A;Conditional;60.00%;None;Yes
CH1550424647;Leonteq Securities AG;Twin-Win Certificate in EUR on Ferrari, Hermès, Kering (RACE, RMS, KER);Phoenix Autocallable, Twin-Win;Yes;Not applicable;EUR;Not applicable;Yes;27.04.2026;30.04.2026;30.04.2030;25.01.2027;60.00%;Not applicable;6;EUR 7.50;Monthly;N/A;Conditional;60.00%;None;Yes
CH1550420314;Leonteq Securities AG;Phoenix Autocallable on Aegon, Allianz, Generali, Swiss Re;Phoenix Autocallable, Express Certificate;Yes;Public;EUR;Financial Services;Yes;22.04.2026;27.04.2026;27.04.2029;20.07.2026 to 20.03.2029;60.00%;No;5;EUR 10.00;Monthly;N/A;Conditional;60.00%;None;Quanto (Currency hedged)
