issuer_name;specialization;geo_region;issuer_rating_description;issuer_rating_class
Vontobel;Structured Products and Wealth Management;Switzerland;Strong investment grade rating reflecting financial stability;A
Vontobel;Investment Banking and Wealth Management;Switzerland;Strong investment grade credit profile;A
Vontobel;Investment Banking and Wealth Management, Structured Products;Switzerland;Investment Grade;A
Vontobel;Investment Banking and Wealth Management;Switzerland;Strong investment grade credit quality;A
Vontobel;Investment Banking and Structured Products;Switzerland;Strong investment grade rating, typically AA- by S&P;AA-
Leonteq Securities;Structured products;Switzerland;BBB from Fitch as of 23/10/2023;BBB
Marex Financial;Financial Services and derivatives;United Kingdom;Regulated by the Financial Conduct Authority;FCA Authorised
Marex Financial;Financial services, commodities, and derivatives;United Kingdom;Regulated by the Financial Conduct Authority (FCA);FCA Authorised
Marex Financial;Financial services, derivatives, and securities;United Kingdom;Authorised and regulated in the UK by the Financial Conduct Authority;FCA Authorised
BNP Paribas S.A.;Investment Banking;France;Investment Grade;High
BNP Paribas S.A.;Banking and Financial Services;France;Investment Grade;High
BNP Paribas S.A.;Financial Services;France;Investment Grade;High
BNP Paribas S.A.;Financial Services;France;Investment Grade;High
BNP Paribas S.A.;Banking and Financial Services;France;Investment Grade;High
BNP Paribas S.A.;Banking and Financial Services;France/Global;Investment Grade (subject to resolution regime);High
BNP Paribas S.A.;Investment Banking and Financial Services;France;Regulated by AMF;Investment Grade
BNP Paribas S.A.;Banking and Financial Services;France;Guarantor;Investment Grade
EFG International Finance (Guernsey) Ltd.;Financial Services;Guernsey;Guaranteed by EFG International AG, Zurich;Investment Grade
Leonteq Securities;Structured Products;Switzerland;BBB;Investment Grade
Leonteq Securities AG;Structured Products;Switzerland;Regulated by FINMA;Investment Grade
Leonteq Securities AG;Structured Products;Switzerland;Regulated by FINMA;Investment Grade
Mediobanca;Investment Banking;Italy;Strong investment grade rating, typically rated BBB or equivalent by major rating agencies;Investment Grade
